"","V1","V2","V3","V4","V5"
"1",0,0,18,6,15
"2",0,11,0,3,3
"3",5,1,24,17,0
"4",77,0,20,57,4
"5",14,8,0,38,7
"6",10,7,8,16,2
"7",1,0,6,2,11
"8",11,9,12,11,24
"9",66,62,17,0,5
"10",2,0,4,3,17
"11",9,24,35,49,13
"12",17,1,1,0,0
"13",11,15,6,0,79
"14",5,5,0,3,8
"15",34,0,6,30,29
"16",0,3,0,0,6
"17",1,0,13,1,1
"18",69,11,17,9,12
"19",0,28,13,0,80
"20",10,2,12,0,4
"21",0,15,1,4,0
"22",18,20,43,2,10
"23",51,31,11,8,31
"24",19,9,0,0,1
"25",0,10,9,13,7
"26",7,1,25,7,19
"27",6,28,36,12,9
"28",4,0,1,16,0
"29",8,0,0,5,16
"30",1,8,10,6,14
"31",0,3,38,21,15
"32",9,12,27,29,15
"33",32,3,1,4,0
"34",5,4,6,18,1
"35",16,12,2,12,19
"36",13,0,22,0,15
"37",13,2,2,0,0
"38",18,14,2,1,2
"39",0,4,0,13,15
"40",10,1,14,6,39
"41",6,5,12,26,11
"42",2,9,5,9,3
"43",0,9,0,4,4
"44",4,9,14,23,9
"45",17,10,4,11,4
"46",34,6,10,32,16
"47",20,8,3,1,16
"48",42,0,27,23,2
"49",19,25,9,5,5
"50",54,4,0,8,6
"51",31,28,0,4,0
"52",5,0,11,15,17
"53",0,13,8,18,8
"54",10,13,20,27,5
"55",0,17,18,5,11
"56",5,3,0,7,6
"57",1,4,3,1,2
"58",18,6,0,25,23
"59",0,0,13,14,14
"60",0,6,17,6,10
"61",2,8,1,17,9
"62",0,2,11,6,6
"63",41,29,23,3,0
"64",8,19,2,0,18
"65",7,3,35,12,10
"66",9,41,39,17,9
"67",99,15,23,7,4
"68",0,10,2,32,14
"69",21,30,35,0,1
"70",0,24,21,5,5
"71",37,52,26,5,9
"72",44,6,5,8,5
"73",20,0,0,6,16
"74",1,6,0,33,13
"75",0,1,23,1,9
"76",33,2,5,47,55
"77",4,2,5,17,5
"78",3,33,0,7,17
"79",16,7,10,53,6
"80",79,0,33,7,13
"81",5,9,11,53,4
"82",9,1,2,11,2
"83",0,7,11,16,2
"84",18,15,20,43,93
"85",4,0,27,7,2
"86",2,4,5,13,15
"87",30,0,0,20,13
"88",3,0,25,0,16
"89",10,0,40,35,36
"90",12,15,29,42,20
"91",8,1,1,13,4
"92",3,0,35,2,20
"93",22,14,2,11,0
"94",1,18,6,1,7
"95",3,0,11,0,9
"96",24,30,36,27,9
"97",2,0,0,0,5
"98",19,20,6,0,0
"99",46,26,1,2,0
"100",5,11,14,1,0
