"","V1","V2","V3","V4","V5"
"1",32,11,17,0,40
"2",0,15,7,27,13
"3",39,55,6,7,4
"4",58,0,31,18,19
"5",1,15,27,10,26
"6",7,6,24,28,3
"7",12,1,54,4,0
"8",29,17,0,30,43
"9",41,37,15,1,3
"10",21,6,1,3,10
"11",15,10,21,35,14
"12",3,23,15,37,6
"13",15,2,10,17,9
"14",0,5,9,0,1
"15",7,0,16,2,5
"16",0,3,28,10,3
"17",21,12,20,3,7
"18",2,16,5,4,16
"19",5,48,0,10,7
"20",26,17,0,11,2
"21",0,12,7,3,41
"22",14,17,0,9,1
"23",6,1,27,2,20
"24",7,26,22,14,1
"25",0,19,18,6,7
"26",44,86,119,101,22
"27",122,25,11,35,38
"28",16,60,3,30,45
"29",23,0,19,26,4
"30",14,1,17,12,20
"31",7,0,16,13,23
"32",8,11,10,12,7
"33",5,8,7,0,2
"34",4,39,30,17,21
"35",36,5,28,46,0
"36",7,6,29,15,0
"37",12,6,2,9,8
"38",2,5,5,20,18
"39",9,2,13,7,12
"40",1,10,1,25,24
"41",5,2,5,9,22
"42",6,20,3,0,7
"43",21,28,33,9,9
"44",18,8,14,10,13
"45",23,22,2,9,16
"46",4,0,10,21,36
"47",39,0,18,1,14
"48",25,32,39,35,3
"49",0,12,0,10,7
"50",65,9,1,8,2
"51",22,34,62,26,1
"52",0,0,0,0,0
"53",0,52,33,5,1
"54",39,0,21,14,8
"55",64,0,9,3,9
"56",2,0,1,2,18
"57",44,60,66,64,16
"58",4,74,7,6,0
"59",22,0,9,26,63
"60",0,5,9,4,31
"61",1,0,7,7,34
"62",1,0,0,10,39
"63",1,51,38,1,7
"64",7,7,24,25,3
"65",8,13,23,46,0
"66",37,15,33,22,14
"67",0,1,38,26,8
"68",25,3,1,1,5
"69",19,25,21,0,1
"70",22,2,11,7,6
"71",12,0,39,4,4
"72",9,9,10,6,9
"73",9,43,5,3,8
"74",30,0,1,2,0
"75",8,5,14,12,4
"76",10,0,5,18,10
"77",27,1,3,16,5
"78",5,7,32,15,9
"79",6,17,0,0,12
"80",19,2,27,7,14
"81",3,0,29,4,0
"82",26,3,7,4,1
"83",0,15,0,7,13
"84",13,10,0,11,1
"85",4,0,13,7,8
"86",30,3,14,38,7
"87",5,0,17,11,4
"88",37,43,29,22,96
"89",34,3,12,6,14
"90",1,6,2,14,3
"91",27,17,22,8,24
"92",3,10,5,0,16
"93",20,18,28,13,4
"94",30,0,40,0,5
"95",0,7,5,23,30
"96",0,1,0,7,2
"97",30,9,10,1,17
"98",1,20,0,1,7
"99",58,38,0,15,30
"100",18,24,0,10,51
