"","V1","V2","V3","V4","V5"
"1",44,23,23,0,1
"2",18,26,4,22,1
"3",0,5,6,47,17
"4",23,5,2,3,2
"5",2,5,18,2,8
"6",22,17,45,6,8
"7",2,0,8,7,7
"8",1,2,0,7,3
"9",4,0,11,13,26
"10",2,0,5,2,2
"11",11,12,17,2,3
"12",0,4,6,3,7
"13",0,5,1,3,8
"14",0,3,4,12,2
"15",0,0,0,2,16
"16",0,4,15,7,7
"17",14,0,8,1,4
"18",14,0,3,3,1
"19",31,9,5,5,67
"20",4,12,3,15,6
"21",0,24,0,3,41
"22",7,6,5,0,1
"23",9,8,2,3,4
"24",3,0,2,15,27
"25",4,3,4,4,3
"26",8,11,2,0,5
"27",7,20,12,1,0
"28",2,2,1,24,39
"29",37,3,12,1,2
"30",19,10,8,0,0
"31",0,0,9,14,6
"32",0,1,10,12,15
"33",0,12,3,5,7
"34",14,1,0,8,2
"35",15,9,1,8,0
"36",12,0,16,2,10
"37",4,3,3,4,3
"38",12,8,0,6,34
"39",8,8,3,6,10
"40",1,4,7,10,4
"41",2,9,10,5,7
"42",9,2,0,0,3
"43",11,3,4,8,8
"44",0,5,2,7,9
"45",8,23,2,2,3
"46",1,7,27,0,3
"47",0,4,7,3,0
"48",9,9,0,2,0
"49",2,0,15,4,2
"50",5,2,14,1,1
"51",1,0,27,15,15
"52",5,0,5,9,9
"53",7,4,9,5,1
"54",0,17,2,5,2
"55",1,1,7,15,21
"56",1,2,19,29,17
"57",0,10,3,6,11
"58",12,0,12,2,0
"59",2,1,16,0,7
"60",3,10,5,14,5
"61",40,14,5,9,0
"62",10,8,0,4,0
"63",1,0,0,37,43
"64",16,6,3,2,0
"65",5,1,0,15,6
"66",3,0,0,0,6
"67",33,7,2,2,16
"68",0,49,57,3,5
"69",28,25,21,1,1
"70",4,0,2,2,2
"71",6,6,6,0,2
"72",1,12,6,2,0
"73",7,1,18,1,6
"74",19,0,1,5,3
"75",68,24,0,0,2
"76",10,2,0,27,35
"77",6,3,1,0,7
"78",11,6,3,11,13
"79",0,14,24,9,10
"80",5,6,2,6,14
"81",9,5,11,7,2
"82",9,0,2,4,6
"83",9,5,13,16,4
"84",26,23,0,8,1
"85",1,1,5,2,8
"86",4,7,15,0,1
"87",3,9,11,12,0
"88",7,1,4,28,3
"89",1,0,38,32,0
"90",18,6,0,0,1
"91",3,0,2,13,4
"92",18,2,4,5,12
"93",1,13,7,5,4
"94",25,9,0,13,7
"95",2,0,5,0,39
"96",10,0,1,10,8
"97",3,5,3,11,0
"98",5,14,2,2,5
"99",1,1,3,1,0
"100",0,3,0,1,0
