"","V1","V2","V3","V4","V5"
"1",3,2,7,3,5
"2",0,5,0,2,29
"3",0,0,5,2,7
"4",18,5,9,7,10
"5",4,0,28,1,16
"6",34,6,5,3,6
"7",9,0,0,12,15
"8",3,0,5,6,5
"9",12,17,0,5,6
"10",0,14,2,41,18
"11",4,8,19,24,7
"12",0,2,0,4,19
"13",0,6,0,7,6
"14",0,30,8,3,5
"15",0,6,2,1,4
"16",1,2,5,41,20
"17",4,2,0,2,19
"18",4,0,0,5,20
"19",16,26,3,2,1
"20",0,3,0,3,0
"21",12,0,0,0,4
"22",15,2,2,16,24
"23",11,2,13,1,10
"24",0,0,0,9,7
"25",12,8,9,45,12
"26",2,0,6,5,6
"27",7,2,1,2,6
"28",15,17,2,31,48
"29",1,9,3,8,7
"30",13,19,0,18,27
"31",0,2,3,16,2
"32",3,6,0,0,6
"33",9,18,5,10,5
"34",3,12,2,5,8
"35",2,0,7,7,31
"36",4,1,3,10,7
"37",3,1,5,8,8
"38",0,0,3,3,5
"39",5,1,18,4,0
"40",1,0,12,0,5
"41",3,0,4,10,10
"42",0,8,7,11,3
"43",0,19,3,5,5
"44",20,1,12,18,25
"45",5,25,1,5,19
"46",28,0,3,11,27
"47",0,25,5,0,7
"48",6,1,12,17,10
"49",1,11,3,21,13
"50",11,29,26,5,9
"51",16,4,6,5,4
"52",0,1,15,19,21
"53",1,10,6,10,4
"54",3,4,11,4,19
"55",5,4,2,1,3
"56",16,13,0,9,18
"57",2,1,0,1,5
"58",8,6,19,6,0
"59",14,15,0,2,5
"60",6,0,6,1,6
"61",20,0,5,1,26
"62",20,18,1,2,11
"63",4,0,3,2,8
"64",5,0,0,0,12
"65",0,0,19,2,2
"66",2,0,0,11,3
"67",0,1,6,0,10
"68",8,1,0,2,0
"69",6,1,6,8,8
"70",19,6,2,14,15
"71",3,2,45,0,19
"72",0,1,1,4,16
"73",0,7,7,4,7
"74",0,0,1,1,2
"75",1,0,0,13,3
"76",3,0,4,0,8
"77",3,1,1,14,24
"78",2,0,4,3,7
"79",42,12,4,4,5
"80",21,34,24,2,20
"81",0,2,4,15,5
"82",4,9,16,3,6
"83",1,1,6,7,2
"84",1,4,0,5,37
"85",32,28,8,2,1
"86",8,6,16,4,14
"87",11,0,3,0,0
"88",8,15,5,0,15
"89",12,12,5,0,33
"90",16,6,0,1,9
"91",72,24,19,8,6
"92",5,3,0,0,8
"93",5,0,1,7,6
"94",0,7,6,4,0
"95",0,4,2,2,14
"96",3,0,0,6,0
"97",6,0,16,2,6
"98",18,8,7,14,1
"99",3,0,39,13,22
"100",2,0,4,0,6
