"","V1","V2","V3","V4","V5"
"1",1,22,0,11,4
"2",1,0,2,1,2
"3",62,29,19,4,6
"4",12,0,18,7,8
"5",9,7,22,14,78
"6",52,9,37,0,35
"7",6,0,17,20,0
"8",2,8,5,0,12
"9",11,6,4,25,33
"10",3,0,7,8,11
"11",7,6,2,17,49
"12",5,13,2,13,5
"13",10,4,13,9,50
"14",13,25,4,107,118
"15",12,2,1,13,2
"16",14,19,19,17,48
"17",27,4,25,0,4
"18",18,10,12,13,0
"19",14,5,67,82,198
"20",2,10,4,4,0
"21",1,0,0,0,72
"22",19,0,3,28,36
"23",24,3,2,52,32
"24",0,3,5,56,43
"25",28,7,6,17,50
"26",7,0,0,18,30
"27",17,6,28,52,56
"28",3,59,5,24,41
"29",170,96,37,9,0
"30",21,11,13,11,20
"31",26,1,3,20,59
"32",36,33,3,2,0
"33",47,17,0,20,7
"34",64,2,2,8,69
"35",12,13,23,12,0
"36",3,5,1,13,21
"37",24,3,2,40,40
"38",0,2,2,21,18
"39",14,22,18,11,10
"40",64,62,75,100,165
"41",12,5,11,12,87
"42",18,33,19,23,31
"43",5,3,5,6,6
"44",0,28,16,58,121
"45",34,0,4,2,54
"46",30,2,4,72,88
"47",12,0,6,27,20
"48",6,18,8,13,17
"49",0,6,5,27,7
"50",50,0,36,71,6
"51",1,3,20,20,32
"52",23,28,42,46,48
"53",11,62,38,2,80
"54",27,3,17,10,13
"55",2,24,10,26,33
"56",7,0,1,0,16
"57",28,12,1,4,146
"58",13,102,59,13,14
"59",1,8,6,15,7
"60",2,0,0,1,2
"61",205,178,52,36,16
"62",29,27,20,0,9
"63",5,6,5,13,19
"64",30,13,0,7,29
"65",32,0,36,60,27
"66",20,6,10,33,38
"67",17,1,7,12,8
"68",0,2,2,11,65
"69",1,10,10,44,6
"70",8,0,6,19,20
"71",0,16,34,6,95
"72",8,1,5,8,30
"73",4,10,32,2,9
"74",11,21,9,30,72
"75",3,0,1,4,0
"76",34,0,49,20,28
"77",2,12,2,11,5
"78",13,0,174,194,228
"79",45,15,0,7,1
"80",61,28,6,4,0
"81",2,0,1,9,4
"82",25,32,80,130,146
"83",124,96,54,84,115
"84",2,0,8,7,58
"85",9,5,35,59,64
"86",14,9,13,113,145
"87",24,3,30,12,3
"88",1,1,4,39,115
"89",31,63,65,59,4
"90",6,8,9,33,10
"91",20,0,2,14,17
"92",11,7,23,19,1
"93",12,14,33,46,22
"94",1,3,49,12,18
"95",8,0,16,35,34
"96",5,1,5,14,43
"97",53,0,107,102,64
"98",36,98,119,126,157
"99",35,14,27,21,34
"100",2,0,27,13,0
