"","V1","V2","V3","V4","V5"
"1",6,27,8,61,103
"2",16,0,46,14,73
"3",143,110,20,37,6
"4",0,0,32,5,35
"5",20,38,7,20,114
"6",61,18,22,0,35
"7",21,0,36,69,1
"8",112,99,5,0,1
"9",11,6,28,17,33
"10",14,0,7,10,16
"11",15,6,2,17,14
"12",37,17,2,13,5
"13",22,4,13,9,50
"14",27,15,6,120,131
"15",76,2,1,43,2
"16",86,81,48,103,216
"17",27,41,10,0,5
"18",18,9,12,13,0
"19",46,5,10,25,45
"20",2,11,4,1,0
"21",1,2,0,0,3
"22",19,4,3,28,36
"23",24,3,39,89,72
"24",27,48,38,56,43
"25",28,3,4,29,2
"26",41,49,0,18,2
"27",14,0,3,4,1
"28",6,11,14,0,15
"29",170,96,37,9,39
"30",22,11,13,11,20
"31",57,30,15,34,73
"32",36,33,3,2,0
"33",201,171,153,83,7
"34",15,2,35,22,1
"35",14,13,23,12,0
"36",31,47,107,0,21
"37",24,3,2,23,23
"38",0,2,2,6,20
"39",45,37,19,108,167
"40",130,38,24,0,63
"41",12,5,11,12,10
"42",7,47,101,105,113
"43",30,0,28,3,3
"44",0,28,7,49,112
"45",30,0,18,2,54
"46",62,34,6,17,1
"47",12,0,6,4,20
"48",58,43,8,13,54
"49",33,13,1,0,36
"50",50,24,35,75,7
"51",17,5,20,20,34
"52",105,100,86,82,81
"53",313,205,181,139,22
"54",27,17,17,10,13
"55",2,24,28,14,8
"56",5,38,2,0,16
"57",28,12,1,4,165
"58",13,30,59,1,8
"59",6,7,1,15,2
"60",36,17,10,1,47
"61",16,8,26,43,28
"62",32,30,7,22,9
"63",188,106,93,48,41
"64",0,13,0,8,1
"65",9999999,9999999,9999999,9999999,9999999
"66",81,6,10,6,0
"67",17,10,24,45,30
"68",1,31,23,11,65
"69",25,15,10,44,9
"70",8,4,7,19,20
"71",1,17,33,6,24
"72",43,1,13,16,30
"73",7,10,32,3,17
"74",12,22,45,4,35
"75",37,0,1,0,0
"76",34,0,49,20,28
"77",43,8,17,3,43
"78",42,0,174,194,228
"79",92,62,1,64,31
"80",0,68,32,4,0
"81",2,0,29,14,93
"82",38,47,70,120,136
"83",76,48,102,132,163
"84",12,9,8,7,1
"85",60,56,75,99,104
"86",24,13,37,18,12
"87",51,19,30,12,4
"88",3,1,4,21,0
"89",16,48,65,59,4
"90",6,43,50,0,11
"91",0,7,2,18,1
"92",79,11,23,19,1
"93",20,61,33,49,119
"94",1,3,28,143,149
"95",10,19,45,64,289
"96",13,1,5,14,43
"97",54,0,21,43,64
"98",77,114,135,142,173
"99",175,154,70,26,20
"100",3,0,27,13,0
