"","V1","V2","V3","V4","V5"
"1",2,23,18,0,34
"2",0,26,3,0,110
"3",5,4,14,0,30
"4",36,0,7,16,8
"5",17,35,0,0,21
"6",23,15,24,0,13
"7",21,0,26,9,0
"8",3,0,5,0,11
"9",0,1,0,13,0
"10",3,3,17,23,1
"11",8,21,23,8,21
"12",26,6,2,13,5
"13",0,4,13,20,5
"14",6,0,3,49,60
"15",23,2,12,33,2
"16",14,19,9,14,13
"17",11,3,25,0,2
"18",2,0,12,21,36
"19",12,15,0,11,26
"20",2,11,4,1,1
"21",0,1,0,0,69
"22",18,5,0,15,23
"23",9,3,21,19,10
"24",0,12,2,2,16
"25",14,7,6,28,1
"26",0,0,0,18,30
"27",8,0,15,7,6
"28",3,21,16,15,32
"29",32,9,0,11,2
"30",21,39,18,0,3
"31",2,20,0,27,7
"32",8,5,3,2,1
"33",44,14,0,22,6
"34",22,0,5,18,69
"35",14,11,23,12,0
"36",2,11,4,13,15
"37",0,1,0,0,0
"38",0,1,2,0,11
"39",67,59,41,15,7
"40",25,6,3,28,16
"41",5,0,11,7,65
"42",59,3,5,9,17
"43",27,8,5,6,6
"44",21,1,7,8,1
"45",34,0,2,2,42
"46",30,2,5,46,62
"47",2,0,0,19,16
"48",0,0,0,0,7
"49",0,5,5,10,9
"50",3,1,0,15,6
"51",2,0,21,66,6
"52",21,26,40,44,46
"53",41,55,45,3,29
"54",13,2,5,0,13
"55",2,6,8,30,37
"56",17,27,1,0,10
"57",3,2,1,3,36
"58",13,44,11,21,32
"59",2,7,19,15,7
"60",8,0,21,3,3
"61",47,20,21,8,1
"62",21,19,19,1,1
"63",7,58,45,0,4
"64",2,0,0,6,28
"65",6,25,0,3,5
"66",58,6,5,6,0
"67",2,1,18,37,23
"68",0,15,7,11,18
"69",15,24,29,6,21
"70",8,14,4,19,20
"71",33,18,26,0,19
"72",12,1,13,16,17
"73",4,0,8,2,6
"74",11,16,0,10,11
"75",3,0,0,0,12
"76",3,0,19,4,12
"77",14,12,2,11,10
"78",16,0,0,18,8
"79",61,31,0,0,10
"80",3,12,11,5,1
"81",2,0,14,6,2
"82",0,9,4,6,22
"83",53,25,15,7,0
"84",7,9,7,6,57
"85",4,0,9,7,4
"86",4,6,2,13,10
"87",3,9,8,11,0
"88",0,1,1,39,24
"89",1,2,28,34,3
"90",4,6,13,20,11
"91",2,0,2,16,17
"92",45,0,23,18,0
"93",8,1,3,11,3
"94",63,25,13,60,66
"95",0,2,18,13,13
"96",13,0,4,13,43
"97",5,0,12,5,10
"98",0,8,7,14,45
"99",1,14,19,13,28
"100",0,0,18,16,20
