"","V1","V2","V3","V4","V5"
"1",2,23,0,1,34
"2",0,7,0,0,11
"3",5,4,3,0,30
"4",0,2,7,16,8
"5",17,35,0,0,10
"6",1,7,14,0,13
"7",21,0,26,9,0
"8",3,0,5,0,0
"9",0,1,0,22,0
"10",8,3,43,21,0
"11",13,21,32,47,21
"12",3,6,2,13,5
"13",0,4,3,1,94
"14",6,0,3,14,25
"15",13,32,1,4,0
"16",14,19,17,14,13
"17",11,3,10,0,2
"18",2,0,12,12,0
"19",12,11,0,10,5
"20",3,10,28,1,1
"21",0,1,0,0,0
"22",0,5,11,50,42
"23",4,3,21,19,5
"24",0,12,2,2,16
"25",14,7,6,0,2
"26",0,30,0,18,0
"27",8,0,27,3,0
"28",3,21,3,15,0
"29",32,3,17,12,2
"30",21,16,18,0,3
"31",2,20,0,0,7
"32",8,5,3,2,1
"33",44,14,0,22,6
"34",13,2,5,18,0
"35",14,0,23,12,0
"36",2,3,4,0,8
"37",0,1,0,0,0
"38",0,1,2,0,7
"39",67,59,41,15,1
"40",7,6,3,28,16
"41",5,5,11,12,0
"42",59,3,5,9,17
"43",27,0,5,29,29
"44",11,1,7,8,1
"45",4,0,2,2,42
"46",52,24,5,0,0
"47",11,0,0,26,16
"48",0,0,0,0,7
"49",0,5,5,11,5
"50",5,1,0,7,6
"51",10,0,25,66,6
"52",21,26,40,44,46
"53",9,18,13,3,29
"54",13,2,5,0,8
"55",2,19,8,6,0
"56",0,27,1,0,10
"57",3,9,1,3,36
"58",13,44,11,21,32
"59",2,12,1,15,0
"60",7,5,16,3,3
"61",67,40,19,3,0
"62",29,27,7,1,1
"63",7,30,44,13,6
"64",1,0,0,6,0
"65",3,36,0,3,5
"66",22,6,3,12,21
"67",2,24,18,4,50
"68",0,3,3,11,5
"69",26,35,40,6,21
"70",8,3,4,8,7
"71",33,18,26,0,6
"72",4,17,14,17,19
"73",4,0,8,2,6
"74",20,16,0,4,1
"75",3,0,0,0,17
"76",12,0,19,4,0
"77",2,6,7,4,8
"78",16,0,0,18,52
"79",61,31,0,0,12
"80",3,20,9,5,1
"81",2,0,14,6,2
"82",0,5,4,54,70
"83",53,25,15,11,0
"84",7,9,7,6,0
"85",14,10,12,7,4
"86",4,6,2,12,7
"87",16,9,8,17,0
"88",0,5,1,3,24
"89",1,2,43,49,1
"90",4,6,3,0,11
"91",0,1,2,16,0
"92",45,4,28,18,0
"93",8,1,13,1,3
"94",63,25,13,60,66
"95",0,2,18,37,13
"96",13,0,4,13,29
"97",5,46,12,5,10
"98",0,8,7,14,13
"99",1,15,19,13,19
"100",0,0,19,32,20
