"","V1","V2","V3","V4","V5"
"1",5,26,0,2,8
"2",4,7,3,0,11
"3",5,4,0,0,30
"4",0,0,0,4,8
"5",5,23,0,0,4
"6",23,15,24,0,3
"7",19,0,9,6,0
"8",3,0,0,0,4
"9",0,1,0,25,0
"10",3,0,13,4,0
"11",7,3,9,3,14
"12",9,6,2,13,5
"13",0,4,10,3,1
"14",6,0,3,14,25
"15",11,2,12,33,2
"16",14,19,7,14,2
"17",11,3,10,0,1
"18",2,0,12,12,1
"19",12,4,0,10,5
"20",2,10,4,2,0
"21",0,1,0,0,20
"22",17,0,5,14,6
"23",9,3,1,2,0
"24",0,12,2,0,1
"25",10,3,4,0,1
"26",0,30,0,9,0
"27",9,0,2,13,10
"28",0,5,3,0,15
"29",17,3,2,9,2
"30",21,16,4,0,3
"31",2,20,0,2,7
"32",6,5,1,0,1
"33",0,14,0,4,6
"34",5,2,0,9,16
"35",14,11,23,12,0
"36",2,11,0,0,15
"37",0,0,0,0,0
"38",0,1,2,0,11
"39",2,10,19,15,39
"40",3,0,3,0,16
"41",5,5,1,7,12
"42",2,1,5,9,10
"43",6,0,5,3,3
"44",0,1,7,8,1
"45",3,0,2,2,11
"46",0,8,4,16,3
"47",6,0,0,5,0
"48",0,0,0,0,7
"49",0,0,5,0,3
"50",3,1,0,7,6
"51",9,0,20,20,0
"52",6,11,11,7,6
"53",9,18,13,3,13
"54",8,2,5,0,2
"55",2,12,8,9,10
"56",4,8,1,0,10
"57",2,1,1,3,9
"58",1,10,8,1,8
"59",1,7,1,14,7
"60",8,0,0,0,3
"61",16,0,9,3,0
"62",6,4,7,1,1
"63",7,31,45,13,6
"64",0,6,0,6,2
"65",4,22,0,3,5
"66",20,6,5,6,0
"67",2,1,18,4,30
"68",0,10,2,11,5
"69",0,8,13,6,21
"70",5,0,4,8,7
"71",6,18,26,0,9
"72",3,1,13,16,20
"73",2,0,8,2,6
"74",2,6,0,4,11
"75",3,0,0,2,12
"76",11,0,19,2,0
"77",1,6,0,1,8
"78",16,0,0,18,52
"79",61,31,0,0,12
"80",2,20,3,5,1
"81",3,0,14,6,2
"82",0,6,4,32,48
"83",40,12,12,4,0
"84",7,9,7,6,18
"85",14,10,2,7,4
"86",4,4,2,12,4
"87",4,6,4,12,0
"88",0,2,1,13,0
"89",1,2,43,49,1
"90",1,20,10,0,11
"91",0,0,2,16,17
"92",0,0,28,12,0
"93",1,1,17,4,3
"94",1,1,13,27,33
"95",0,3,16,35,8
"96",13,0,4,13,7
"97",1,0,0,0,10
"98",0,8,0,6,13
"99",1,13,5,8,17
"100",0,0,2,14,0
