"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",49,46,25,6,39,0,30,10,29,9999999
"IDXGap_CI",1,8,22,25,8,0,2,7,54,9999999
"IDXGap_CI",7,2,7,3,11,18,1,32,69,9999999
"IDXGap_CI",0,9,4,7,4,1,0,11,16,9999999
"IDXGap_CI",4,13,31,100,34,15,2,19,20,9999999
"IDXGap_CI",0,10,33,32,11,6,0,36,70,9999999
"IDXGap_CI",0,4,42,39,36,16,27,55,37,9999999
"IDXGap_CI",143,108,94,78,66,12,14,1,0,9999999
"IDXGap_CI",3,0,26,35,4,0,12,0,8,9999999
"IDXGap_CI",28,13,8,5,0,2,6,9,11,9999999
"IDXGap_CI",44,4,15,18,15,14,10,0,23,9999999
"IDXGap_CI",4,2,0,45,45,50,27,26,6,9999999
"IDXGap_CI",32,11,1,0,55,41,25,2,15,9999999
"IDXGap_CI",93,65,61,57,53,30,8,9,5,9999999
"IDXGap_CI",30,33,23,10,7,21,3,0,6,9999999
"IDXGap_CI",18,13,5,0,8,2,11,2,7,9999999
"IDXGap_CI",0,13,36,3,0,1,33,26,12,9999999
"IDXGap_CI",23,0,1,11,29,4,25,20,27,9999999
"IDXGap_CI",8,0,22,45,99,109,83,52,31,9999999
"IDXGap_CI",14,13,27,14,8,4,0,0,0,9999999
"IDXGap_CI",1,23,37,11,7,5,18,12,1,9999999
"IDXGap_CI",16,4,1,22,8,0,8,1,2,9999999
"IDXGap_CI",25,11,5,20,19,8,2,2,2,9999999
"IDXGap_CI",0,8,0,11,5,45,22,9,46,9999999
"IDXGap_CI",4,15,29,20,19,9,1,30,7,9999999
"IDXGap_CI",0,15,20,10,18,16,18,0,8,9999999
"IDXGap_CI",0,20,0,23,2,6,7,10,13,9999999
"IDXGap_CI",18,9,0,0,3,14,11,26,26,9999999
"IDXGap_CI",1,6,14,13,4,10,59,31,4,9999999
"IDXGap_CI",45,55,25,24,26,18,1,15,6,9999999
