"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",49,46,25,22,24,7,29,9,8,9999999
"IDXGap_CI",3,22,13,5,3,36,35,30,77,9999999
"IDXGap_CI",7,11,6,0,15,22,28,5,14,9999999
"IDXGap_CI",70,34,29,0,2,1,17,10,11,9999999
"IDXGap_CI",5,25,22,16,0,15,2,4,2,9999999
"IDXGap_CI",28,5,28,23,11,0,0,17,15,9999999
"IDXGap_CI",0,4,9,36,38,9,0,28,4,9999999
"IDXGap_CI",0,23,36,47,35,17,21,16,13,9999999
"IDXGap_CI",26,2,0,10,2,8,12,29,40,9999999
"IDXGap_CI",92,77,72,56,9,5,16,33,1,9999999
"IDXGap_CI",5,57,47,44,32,31,3,33,8,9999999
"IDXGap_CI",54,38,14,10,10,7,13,15,0,9999999
"IDXGap_CI",27,2,5,7,0,12,27,8,3,9999999
"IDXGap_CI",15,2,7,11,15,15,18,12,2,9999999
"IDXGap_CI",13,16,47,54,51,1,30,53,6,9999999
"IDXGap_CI",22,17,8,2,16,1,1,0,9,9999999
"IDXGap_CI",6,22,36,6,51,49,16,5,26,9999999
"IDXGap_CI",5,0,0,9,32,24,4,121,128,9999999
"IDXGap_CI",16,0,20,0,12,1,24,4,8,9999999
"IDXGap_CI",0,0,11,0,4,8,0,2,5,9999999
"IDXGap_CI",7,13,33,25,21,19,4,16,0,9999999
"IDXGap_CI",8,12,0,8,0,7,18,23,18,9999999
"IDXGap_CI",3,3,0,45,47,13,7,7,6,9999999
"IDXGap_CI",0,0,0,11,0,38,89,102,165,9999999
"IDXGap_CI",0,15,24,15,14,4,9,26,44,9999999
"IDXGap_CI",36,34,28,8,8,9,8,2,25,9999999
"IDXGap_CI",58,37,0,17,3,0,3,19,22,9999999
"IDXGap_CI",15,40,0,0,7,30,57,72,72,9999999
"IDXGap_CI",25,23,0,27,7,6,32,58,20,9999999
"IDXGap_CI",18,6,1,48,46,26,0,2,11,9999999
"IDXGap_CI",21,11,5,0,30,9,12,23,8,9999999
"IDXGap_CI",18,17,13,8,10,13,16,6,8,9999999
"IDXGap_CI",41,12,1,32,47,29,14,30,0,9999999
"IDXGap_CI",15,0,24,21,1,44,27,0,7,9999999
"IDXGap_CI",0,8,23,23,28,38,24,5,1,9999999
"IDXGap_CI",5,12,2,13,21,23,12,31,3,9999999
"IDXGap_CI",35,23,16,10,22,10,8,2,3,9999999
"IDXGap_CI",26,43,11,14,28,60,66,10,12,9999999
"IDXGap_CI",0,3,15,21,18,13,13,54,13,9999999
"IDXGap_CI",112,94,7,32,24,12,7,10,19,9999999
"IDXGap_CI",3,28,27,49,43,0,8,13,0,9999999
"IDXGap_CI",23,0,1,16,23,4,0,6,10,9999999
"IDXGap_CI",0,17,19,0,2,8,2,2,16,9999999
"IDXGap_CI",16,12,21,35,0,0,53,54,59,9999999
"IDXGap_CI",17,15,12,0,1,18,34,42,25,9999999
"IDXGap_CI",37,8,53,35,33,3,0,14,29,9999999
"IDXGap_CI",4,1,0,10,19,10,2,24,13,9999999
"IDXGap_CI",2,38,3,40,0,8,13,18,20,9999999
"IDXGap_CI",23,7,0,6,13,28,38,20,14,9999999
"IDXGap_CI",30,33,26,2,0,0,7,14,26,9999999
"IDXGap_CI",7,1,8,0,1,21,64,89,100,9999999
"IDXGap_CI",48,27,13,9,8,6,0,4,17,9999999
"IDXGap_CI",0,2,0,24,0,3,45,11,5,9999999
"IDXGap_CI",0,3,19,12,62,69,71,52,8,9999999
"IDXGap_CI",10,12,15,5,0,0,32,16,21,9999999
"IDXGap_CI",34,0,1,23,44,38,23,20,0,9999999
"IDXGap_CI",21,10,3,5,4,2,26,2,5,9999999
"IDXGap_CI",12,1,12,4,12,16,25,22,15,9999999
"IDXGap_CI",5,4,21,31,31,35,0,11,17,9999999
"IDXGap_CI",7,3,0,7,19,2,17,16,0,9999999
"IDXGap_CI",84,79,58,28,118,173,178,201,208,9999999
"IDXGap_CI",0,1,13,20,57,22,17,0,98,9999999
"IDXGap_CI",77,61,0,36,30,4,13,31,5,9999999
"IDXGap_CI",10,11,16,3,26,6,13,29,0,9999999
"IDXGap_CI",21,17,16,1,10,22,4,6,3,9999999
"IDXGap_CI",1,0,3,7,15,1,24,16,17,9999999
"IDXGap_CI",24,19,19,0,9,11,13,16,10,9999999
"IDXGap_CI",147,138,82,19,17,0,3,7,17,9999999
"IDXGap_CI",11,8,13,5,20,29,34,21,2,9999999
"IDXGap_CI",0,28,21,11,8,10,9,0,0,9999999
"IDXGap_CI",0,28,31,23,37,10,9,0,17,9999999
"IDXGap_CI",6,11,3,31,4,18,9,5,7,9999999
"IDXGap_CI",9,27,41,69,53,35,17,4,0,9999999
"IDXGap_CI",36,15,27,0,2,18,41,13,11,9999999
"IDXGap_CI",10,11,1,10,11,2,30,7,26,9999999
"IDXGap_CI",40,14,4,1,22,13,10,0,7,9999999
"IDXGap_CI",13,30,12,1,2,17,26,28,4,9999999
"IDXGap_CI",5,4,2,2,0,16,0,0,2,9999999
"IDXGap_CI",6,6,1,0,8,18,16,11,0,9999999
"IDXGap_CI",16,13,20,21,1,39,9,16,43,9999999
"IDXGap_CI",27,23,23,13,57,7,6,2,0,9999999
"IDXGap_CI",71,55,26,4,4,20,69,84,97,9999999
"IDXGap_CI",8,9,15,1,3,2,28,24,6,9999999
"IDXGap_CI",17,25,17,15,57,58,63,41,7,9999999
"IDXGap_CI",1,0,9,13,1,29,36,31,9,9999999
"IDXGap_CI",23,18,6,34,58,49,0,2,11,9999999
"IDXGap_CI",8,2,4,8,11,27,17,13,0,9999999
"IDXGap_CI",59,6,0,16,2,14,14,86,88,9999999
"IDXGap_CI",8,1,4,14,34,8,12,0,5,9999999
"IDXGap_CI",20,12,11,2,1,5,14,0,19,9999999
"IDXGap_CI",165,149,128,124,123,65,40,33,32,9999999
"IDXGap_CI",0,0,0,3,29,28,31,31,2,9999999
"IDXGap_CI",0,5,7,0,14,10,2,3,2,9999999
"IDXGap_CI",3,30,18,20,50,59,17,23,27,9999999
"IDXGap_CI",0,6,32,19,14,25,13,3,13,9999999
"IDXGap_CI",2,23,7,10,0,15,6,8,5,9999999
"IDXGap_CI",1,12,5,12,0,3,2,38,53,9999999
"IDXGap_CI",14,22,4,9,44,70,133,153,160,9999999
"IDXGap_CI",74,54,12,2,39,8,4,8,8,9999999
"IDXGap_CI",15,10,11,17,19,15,0,20,10,9999999
