"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",1,0,20,28,22,19,5,0,15,9999999
"IDXGap_CI",115,96,83,32,15,44,46,7,19,9999999
"IDXGap_CI",3,0,0,1,18,25,43,79,0,9999999
"IDXGap_CI",20,8,3,0,1,3,4,1,0,9999999
"IDXGap_CI",12,11,5,74,31,12,0,15,13,9999999
"IDXGap_CI",109,73,50,27,8,5,14,14,0,9999999
"IDXGap_CI",6,11,49,33,30,3,5,33,77,9999999
"IDXGap_CI",29,4,17,33,45,38,1,12,89,9999999
"IDXGap_CI",51,27,1,33,39,33,6,7,8,9999999
"IDXGap_CI",0,14,19,34,13,0,19,12,28,9999999
"IDXGap_CI",13,41,52,55,66,67,39,0,47,9999999
"IDXGap_CI",19,3,2,36,36,21,0,0,11,9999999
"IDXGap_CI",23,65,75,77,32,18,2,16,3,9999999
"IDXGap_CI",35,7,3,0,3,58,17,50,61,9999999
"IDXGap_CI",17,13,0,5,9,9,9,15,8,9999999
"IDXGap_CI",51,46,14,1,2,27,36,108,120,9999999
"IDXGap_CI",6,4,12,5,0,1,33,57,129,9999999
"IDXGap_CI",188,103,73,63,40,15,9,3,1,9999999
"IDXGap_CI",26,6,14,37,3,0,16,0,4,9999999
"IDXGap_CI",95,66,13,0,3,17,18,17,8,9999999
"IDXGap_CI",3,0,11,3,0,1,4,2,18,9999999
"IDXGap_CI",11,1,10,71,85,94,112,36,31,9999999
"IDXGap_CI",6,3,9,1,0,0,4,5,14,9999999
"IDXGap_CI",9,2,5,5,1,36,9,22,85,9999999
"IDXGap_CI",0,21,35,10,9,0,9,42,67,9999999
"IDXGap_CI",134,3,0,7,9,10,0,17,94,9999999
"IDXGap_CI",3,21,0,24,27,0,30,6,3,9999999
"IDXGap_CI",35,11,8,10,9,0,19,4,3,9999999
"IDXGap_CI",1,27,3,29,21,15,2,29,1,9999999
"IDXGap_CI",55,29,0,50,48,28,12,35,65,9999999
"IDXGap_CI",23,13,7,2,12,5,8,2,19,9999999
"IDXGap_CI",44,7,7,0,0,14,155,189,191,9999999
"IDXGap_CI",1,25,37,14,0,0,12,0,0,9999999
"IDXGap_CI",7,7,47,50,156,89,33,3,1,9999999
"IDXGap_CI",72,61,46,46,41,31,2,6,114,9999999
"IDXGap_CI",4,10,16,0,20,0,15,61,101,9999999
"IDXGap_CI",3,16,23,17,9,4,0,10,91,9999999
"IDXGap_CI",13,35,2,5,1,33,21,0,0,9999999
"IDXGap_CI",10,17,29,35,39,0,3,3,35,9999999
"IDXGap_CI",28,10,10,8,16,29,34,14,1,9999999
"IDXGap_CI",13,17,20,94,87,43,0,27,8,9999999
"IDXGap_CI",0,0,7,27,41,60,64,72,0,9999999
"IDXGap_CI",28,10,7,7,5,2,14,14,72,9999999
"IDXGap_CI",12,65,8,1,8,18,5,5,0,9999999
"IDXGap_CI",19,11,8,13,28,5,2,7,6,9999999
"IDXGap_CI",43,2,5,10,13,43,70,12,0,9999999
"IDXGap_CI",92,89,87,29,9,19,15,11,0,9999999
