"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",13,10,8,7,11,2,19,0,4,9999999
"IDXGap_CI",19,0,3,15,15,10,12,20,24,9999999
"IDXGap_CI",1,5,4,6,0,4,4,8,11,9999999
"IDXGap_CI",12,6,1,19,19,3,4,1,56,9999999
"IDXGap_CI",50,31,13,2,29,23,10,13,13,9999999
"IDXGap_CI",59,23,0,18,9,4,5,6,0,9999999
"IDXGap_CI",14,13,22,18,20,63,52,23,8,9999999
"IDXGap_CI",0,17,11,1,13,4,21,3,16,9999999
"IDXGap_CI",18,3,22,11,11,17,35,18,8,9999999
"IDXGap_CI",0,1,2,0,67,48,25,8,5,9999999
"IDXGap_CI",14,1,8,11,3,2,5,7,2,9999999
"IDXGap_CI",15,32,7,3,3,7,0,0,0,9999999
"IDXGap_CI",7,19,29,31,31,17,1,0,9,9999999
"IDXGap_CI",7,3,0,1,5,1,23,1,12,9999999
"IDXGap_CI",17,13,15,28,27,4,16,7,21,9999999
"IDXGap_CI",8,3,14,1,2,21,20,8,1,9999999
"IDXGap_CI",15,0,2,7,0,16,0,2,0,9999999
"IDXGap_CI",64,15,13,23,34,9,4,6,13,9999999
"IDXGap_CI",7,28,12,0,11,0,23,0,19,9999999
"IDXGap_CI",0,0,3,16,23,37,0,2,5,9999999
"IDXGap_CI",61,3,0,24,27,30,6,3,18,9999999
"IDXGap_CI",17,3,2,9,19,10,0,77,82,9999999
"IDXGap_CI",32,18,12,2,0,5,0,0,8,9999999
"IDXGap_CI",3,0,10,0,24,59,7,3,1,9999999
"IDXGap_CI",0,5,7,6,7,17,23,7,2,9999999
"IDXGap_CI",40,6,0,10,6,7,0,10,32,9999999
"IDXGap_CI",3,6,0,0,7,1,23,0,2,9999999
"IDXGap_CI",1,4,6,8,3,18,7,2,2,9999999
"IDXGap_CI",0,24,0,11,9,15,5,2,2,9999999
"IDXGap_CI",6,0,19,14,16,37,21,1,1,9999999
"IDXGap_CI",14,12,6,1,15,5,8,19,0,9999999
"IDXGap_CI",7,2,24,0,0,3,21,11,13,9999999
"IDXGap_CI",96,67,56,0,1,2,13,0,9,9999999
"IDXGap_CI",28,12,17,20,41,18,6,7,1,9999999
"IDXGap_CI",2,6,20,20,15,5,15,13,52,9999999
"IDXGap_CI",0,16,6,9,36,0,13,3,20,9999999
"IDXGap_CI",3,0,6,13,0,4,3,1,2,9999999
"IDXGap_CI",26,12,25,21,1,6,15,33,35,9999999
"IDXGap_CI",10,17,14,9,5,0,7,1,0,9999999
"IDXGap_CI",7,0,38,9,1,9,14,6,36,9999999
"IDXGap_CI",7,1,4,7,14,0,7,20,3,9999999
"IDXGap_CI",0,0,2,14,28,47,44,36,1,9999999
"IDXGap_CI",9,7,9,6,5,4,16,16,6,9999999
"IDXGap_CI",13,2,4,0,5,16,5,5,0,9999999
"IDXGap_CI",26,0,1,7,9,7,0,0,12,9999999
"IDXGap_CI",9,5,6,2,0,7,11,11,0,9999999
"IDXGap_CI",23,20,18,10,17,12,9,9,0,9999999
"IDXGap_CI",18,32,67,54,3,6,1,0,8,9999999
"IDXGap_CI",0,7,10,0,7,22,22,4,28,9999999
"IDXGap_CI",34,37,14,14,2,13,0,39,51,9999999
"IDXGap_CI",18,7,2,9,7,6,3,16,4,9999999
"IDXGap_CI",9,10,2,0,1,3,10,4,6,9999999
"IDXGap_CI",0,5,15,5,2,3,2,3,8,9999999
"IDXGap_CI",18,21,34,0,29,22,20,23,68,9999999
"IDXGap_CI",0,1,0,11,10,30,6,32,27,9999999
"IDXGap_CI",73,0,18,4,14,3,10,12,27,9999999
"IDXGap_CI",1,2,18,33,53,62,37,7,2,9999999
"IDXGap_CI",5,72,61,32,5,1,52,55,63,9999999
"IDXGap_CI",0,25,10,1,0,0,16,22,0,9999999
"IDXGap_CI",18,14,1,4,12,6,27,32,8,9999999
"IDXGap_CI",4,0,19,34,3,1,6,18,12,9999999
"IDXGap_CI",0,3,16,9,15,14,9,5,103,9999999
"IDXGap_CI",3,10,61,74,68,42,17,1,14,9999999
"IDXGap_CI",0,14,19,20,34,37,4,2,0,9999999
"IDXGap_CI",0,1,2,22,23,12,4,3,16,9999999
"IDXGap_CI",2,0,9,11,19,10,25,4,5,9999999
"IDXGap_CI",14,9,6,9,0,0,58,62,6,9999999
"IDXGap_CI",14,5,7,4,2,26,5,9,10,9999999
