"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",1,0,20,23,1,17,0,0,15,9999999
"IDXGap_CI",5,5,19,1,2,38,40,7,19,9999999
"IDXGap_CI",3,0,0,1,18,25,43,79,0,9999999
"IDXGap_CI",18,0,2,0,0,3,3,1,0,9999999
"IDXGap_CI",12,2,5,74,31,12,0,10,8,9999999
"IDXGap_CI",8,15,5,6,2,5,10,3,0,9999999
"IDXGap_CI",6,11,49,8,5,3,5,3,37,9999999
"IDXGap_CI",5,4,17,33,37,4,1,12,0,9999999
"IDXGap_CI",0,23,1,12,1,2,6,7,8,9999999
"IDXGap_CI",0,14,15,0,0,0,19,1,15,9999999
"IDXGap_CI",13,19,8,5,4,5,4,42,92,9999999
"IDXGap_CI",19,3,2,4,4,14,0,0,11,9999999
"IDXGap_CI",23,0,6,8,0,14,2,0,0,9999999
"IDXGap_CI",35,7,3,0,3,39,0,20,31,9999999
"IDXGap_CI",17,13,0,5,9,9,9,13,7,9999999
"IDXGap_CI",1,1,1,1,0,0,7,64,53,9999999
"IDXGap_CI",6,4,12,5,0,1,33,57,129,9999999
"IDXGap_CI",17,66,66,56,33,8,0,2,1,9999999
"IDXGap_CI",8,6,14,20,0,5,5,0,4,9999999
"IDXGap_CI",2,0,0,0,3,4,18,17,8,9999999
"IDXGap_CI",3,0,8,3,0,1,3,0,0,9999999
"IDXGap_CI",11,1,1,0,10,19,0,7,2,9999999
"IDXGap_CI",6,4,10,1,0,0,4,5,14,9999999
"IDXGap_CI",9,0,5,5,1,3,9,22,85,9999999
"IDXGap_CI",0,4,18,10,9,0,9,12,37,9999999
"IDXGap_CI",3,3,0,7,9,9,7,9,86,9999999
"IDXGap_CI",3,6,0,23,27,0,0,0,1,9999999
"IDXGap_CI",35,11,7,9,9,0,17,2,1,9999999
"IDXGap_CI",0,27,3,32,10,4,2,7,1,9999999
"IDXGap_CI",28,2,0,1,0,18,12,35,65,9999999
"IDXGap_CI",24,14,8,3,12,4,1,2,3,9999999
"IDXGap_CI",44,7,7,0,0,11,3,8,6,9999999
"IDXGap_CI",1,25,37,0,11,0,12,0,0,9999999
"IDXGap_CI",7,7,2,0,106,92,36,6,0,9999999
"IDXGap_CI",72,61,46,46,41,31,2,6,114,9999999
"IDXGap_CI",4,10,16,0,13,0,0,45,85,9999999
"IDXGap_CI",2,15,9,3,9,4,0,4,10,9999999
"IDXGap_CI",13,0,2,5,0,27,3,0,0,9999999
"IDXGap_CI",10,17,29,35,39,0,3,3,0,9999999
"IDXGap_CI",28,10,2,8,0,0,4,14,1,9999999
"IDXGap_CI",13,9,12,10,3,7,0,23,8,9999999
"IDXGap_CI",0,0,7,27,35,16,11,3,0,9999999
"IDXGap_CI",1,10,7,6,5,2,14,14,72,9999999
