"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",13,10,8,27,3,19,16,0,4,9999999
"IDXGap_CI",12,2,3,32,15,10,12,19,19,9999999
"IDXGap_CI",1,0,0,14,0,4,4,40,0,9999999
"IDXGap_CI",9,6,1,4,8,3,4,1,0,9999999
"IDXGap_CI",29,10,5,36,29,23,10,14,12,9999999
"IDXGap_CI",59,23,0,18,5,5,5,4,0,9999999
"IDXGap_CI",10,4,15,61,58,4,5,2,8,9999999
"IDXGap_CI",0,4,11,2,14,4,41,80,16,9999999
"IDXGap_CI",51,27,1,11,11,17,6,8,8,9999999
"IDXGap_CI",0,1,0,0,7,1,18,8,5,9999999
"IDXGap_CI",14,19,8,5,3,2,7,7,40,9999999
"IDXGap_CI",15,3,5,3,3,7,0,0,0,9999999
"IDXGap_CI",8,48,58,60,31,17,1,0,2,9999999
"IDXGap_CI",31,3,0,1,5,12,17,20,31,9999999
"IDXGap_CI",17,13,1,9,13,4,16,11,0,9999999
"IDXGap_CI",8,3,14,1,2,0,7,0,12,9999999
"IDXGap_CI",9,0,18,7,0,16,48,29,0,9999999
"IDXGap_CI",17,66,66,56,33,8,10,0,2,9999999
"IDXGap_CI",7,6,14,0,18,7,23,0,20,9999999
"IDXGap_CI",0,25,0,0,3,17,18,2,5,9999999
"IDXGap_CI",0,0,0,21,17,15,3,2,18,9999999
"IDXGap_CI",11,3,1,0,11,20,0,7,2,9999999
"IDXGap_CI",6,4,10,2,0,0,4,5,12,9999999
"IDXGap_CI",23,0,10,0,1,36,7,3,41,9999999
"IDXGap_CI",0,4,1,1,2,0,8,7,3,9999999
"IDXGap_CI",48,3,0,8,6,7,7,9,32,9999999
"IDXGap_CI",2,6,9,3,7,0,0,0,2,9999999
"IDXGap_CI",8,5,8,10,4,1,10,3,3,9999999
"IDXGap_CI",0,26,3,19,18,12,2,2,1,9999999
"IDXGap_CI",6,0,0,14,16,18,21,8,1,9999999
"IDXGap_CI",0,10,6,1,15,5,8,18,3,9999999
"IDXGap_CI",8,7,7,0,0,3,3,11,13,9999999
"IDXGap_CI",1,25,37,0,11,0,12,0,0,9999999
"IDXGap_CI",17,1,1,4,46,18,32,2,0,9999999
"IDXGap_CI",2,6,20,20,15,5,15,14,52,9999999
"IDXGap_CI",13,26,16,0,27,0,13,4,1,9999999
"IDXGap_CI",3,0,6,3,0,4,3,1,2,9999999
"IDXGap_CI",31,11,13,9,0,6,9,0,0,9999999
"IDXGap_CI",10,9,0,6,4,0,4,3,0,9999999
"IDXGap_CI",18,0,9,8,1,1,2,7,1,9999999
"IDXGap_CI",7,16,19,25,18,7,0,21,0,9999999
"IDXGap_CI",0,0,2,15,29,34,29,21,2,9999999
"IDXGap_CI",9,7,7,6,5,4,16,16,6,9999999
"IDXGap_CI",88,34,4,0,8,16,4,4,0,9999999
"IDXGap_CI",13,11,10,13,9,6,0,2,5,9999999
"IDXGap_CI",28,2,6,24,27,18,11,11,0,9999999
"IDXGap_CI",49,46,44,12,24,0,8,9,0,9999999
"IDXGap_CI",18,60,44,7,3,6,1,0,8,9999999
"IDXGap_CI",3,13,21,34,41,39,28,10,23,9999999
"IDXGap_CI",3,0,18,23,2,13,0,16,28,9999999
"IDXGap_CI",0,11,17,5,7,16,3,0,4,9999999
"IDXGap_CI",12,16,2,0,1,3,10,4,6,9999999
"IDXGap_CI",0,4,15,5,0,0,2,3,8,9999999
"IDXGap_CI",7,10,34,2,29,22,20,4,49,9999999
"IDXGap_CI",0,1,4,3,9,23,6,1,0,9999999
"IDXGap_CI",93,18,19,0,21,10,3,5,27,9999999
"IDXGap_CI",30,10,0,13,33,42,94,64,51,9999999
"IDXGap_CI",5,33,22,5,3,0,13,10,3,9999999
"IDXGap_CI",0,23,12,3,2,0,8,1,0,9999999
"IDXGap_CI",29,25,3,11,14,6,27,32,8,9999999
"IDXGap_CI",0,0,19,34,4,5,10,7,1,9999999
"IDXGap_CI",8,6,1,4,2,0,6,5,15,9999999
"IDXGap_CI",2,10,45,1,1,6,17,1,8,9999999
"IDXGap_CI",0,11,6,0,2,11,3,0,0,9999999
"IDXGap_CI",15,19,20,40,49,61,88,87,5,9999999
"IDXGap_CI",1,0,12,35,29,1,23,4,5,9999999
"IDXGap_CI",41,36,6,27,37,0,11,49,22,9999999
"IDXGap_CI",14,5,49,4,2,26,5,9,10,9999999
"IDXGap_CI",5,1,24,3,3,4,0,23,13,9999999
"IDXGap_CI",0,30,14,23,27,13,12,0,0,9999999
"IDXGap_CI",2,0,1,1,19,3,31,40,19,9999999
"IDXGap_CI",6,8,16,19,2,7,0,1,33,9999999
"IDXGap_CI",5,0,12,0,2,5,0,13,10,9999999
"IDXGap_CI",0,1,4,6,8,2,0,1,5,9999999
"IDXGap_CI",0,0,6,6,7,0,13,24,43,9999999
"IDXGap_CI",0,6,2,1,0,0,13,18,10,9999999
"IDXGap_CI",0,12,0,7,0,5,1,4,26,9999999
"IDXGap_CI",123,20,6,6,26,4,0,6,11,9999999
"IDXGap_CI",15,11,4,8,50,3,12,11,0,9999999
"IDXGap_CI",1,15,0,19,0,3,6,0,3,9999999
"IDXGap_CI",24,27,28,1,2,15,12,5,2,9999999
"IDXGap_CI",12,2,7,9,1,17,5,2,5,9999999
"IDXGap_CI",57,57,29,0,9,2,0,16,34,9999999
"IDXGap_CI",0,6,14,0,8,7,0,9,22,9999999
"IDXGap_CI",44,39,16,20,0,7,5,11,33,9999999
"IDXGap_CI",15,2,13,4,9,0,3,12,2,9999999
"IDXGap_CI",6,12,0,7,15,43,3,0,10,9999999
"IDXGap_CI",2,16,10,0,4,28,28,2,0,9999999
"IDXGap_CI",2,13,16,0,13,5,10,9,3,9999999
"IDXGap_CI",13,5,6,37,15,8,12,1,3,9999999
"IDXGap_CI",17,1,3,8,9,21,1,9,2,9999999
"IDXGap_CI",11,15,25,8,18,3,6,24,3,9999999
"IDXGap_CI",5,11,13,60,38,34,20,19,3,9999999
"IDXGap_CI",3,28,35,32,3,2,2,1,8,9999999
"IDXGap_CI",3,2,12,4,1,12,6,17,0,9999999
"IDXGap_CI",23,9,10,1,3,10,1,37,21,9999999
"IDXGap_CI",204,35,12,4,5,1,5,41,56,9999999
"IDXGap_CI",16,7,4,5,1,0,6,0,6,9999999
"IDXGap_CI",19,0,7,1,1,0,0,4,18,9999999
"IDXGap_CI",80,22,0,0,6,2,8,9,19,9999999
