"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",4,1,8,0,0,3,6,1,0,9999999
"IDXGap_CI",5,2,3,0,14,10,12,19,0,9999999
"IDXGap_CI",28,28,1,6,0,0,4,2,3,9999999
"IDXGap_CI",3,13,8,15,12,0,4,18,1,9999999
"IDXGap_CI",4,9,0,1,0,5,1,12,10,9999999
"IDXGap_CI",6,13,0,14,5,1,5,2,0,9999999
"IDXGap_CI",1,4,12,4,6,0,1,17,4,9999999
"IDXGap_CI",0,10,0,0,4,4,5,3,6,9999999
"IDXGap_CI",11,3,3,0,0,3,0,4,3,9999999
"IDXGap_CI",0,1,0,0,0,1,15,7,5,9999999
"IDXGap_CI",14,0,11,14,3,2,5,7,0,9999999
"IDXGap_CI",1,18,5,5,5,11,0,0,2,9999999
"IDXGap_CI",14,12,22,24,2,5,0,0,3,9999999
"IDXGap_CI",7,3,0,0,4,4,15,0,3,9999999
"IDXGap_CI",8,4,2,2,5,3,6,7,0,9999999
"IDXGap_CI",2,7,23,10,0,7,0,6,1,9999999
"IDXGap_CI",13,0,0,1,2,14,0,1,0,9999999
"IDXGap_CI",17,1,11,1,18,4,4,0,2,9999999
"IDXGap_CI",7,9,0,16,6,2,2,2,2,9999999
"IDXGap_CI",0,5,2,0,7,13,15,2,3,9999999
"IDXGap_CI",0,0,0,24,21,19,3,1,2,9999999
"IDXGap_CI",8,2,3,0,0,7,3,5,3,9999999
"IDXGap_CI",5,2,0,0,0,5,0,0,0,9999999
"IDXGap_CI",3,0,8,0,1,8,7,3,0,9999999
"IDXGap_CI",0,8,4,10,11,21,8,2,0,9999999
"IDXGap_CI",0,0,1,1,6,7,1,8,3,9999999
"IDXGap_CI",1,1,8,0,6,1,1,0,2,9999999
"IDXGap_CI",1,5,7,9,4,1,2,3,3,9999999
"IDXGap_CI",0,3,0,3,4,0,0,2,1,9999999
"IDXGap_CI",8,3,0,14,13,5,2,0,0,9999999
"IDXGap_CI",1,0,7,5,14,5,8,8,0,9999999
"IDXGap_CI",0,3,14,0,0,0,20,7,9,9999999
"IDXGap_CI",30,1,8,0,8,6,5,8,0,9999999
"IDXGap_CI",7,7,10,12,1,10,6,0,1,9999999
"IDXGap_CI",7,17,11,11,6,1,15,0,8,9999999
"IDXGap_CI",0,9,0,2,15,0,3,0,8,9999999
"IDXGap_CI",13,0,5,7,3,0,2,7,16,9999999
"IDXGap_CI",23,2,3,6,0,7,8,0,0,9999999
"IDXGap_CI",0,5,7,2,0,1,4,2,0,9999999
"IDXGap_CI",0,1,9,9,1,0,5,1,6,9999999
"IDXGap_CI",12,0,3,7,14,0,0,13,3,9999999
"IDXGap_CI",0,0,2,3,2,21,16,8,1,9999999
"IDXGap_CI",6,7,9,4,5,0,0,0,19,9999999
"IDXGap_CI",11,0,4,0,4,1,3,4,0,9999999
"IDXGap_CI",19,0,0,4,9,6,0,0,6,9999999
"IDXGap_CI",3,1,6,1,0,7,0,8,0,9999999
"IDXGap_CI",0,0,0,2,4,0,0,8,0,9999999
"IDXGap_CI",0,1,0,0,6,0,1,1,5,9999999
"IDXGap_CI",3,2,12,4,1,16,13,0,1,9999999
"IDXGap_CI",7,4,1,8,0,10,0,1,4,9999999
"IDXGap_CI",17,6,0,11,13,6,3,7,1,9999999
"IDXGap_CI",9,10,14,10,9,7,0,4,1,9999999
"IDXGap_CI",0,18,3,0,2,2,1,3,8,9999999
"IDXGap_CI",4,0,4,0,7,12,10,0,7,9999999
"IDXGap_CI",0,1,0,0,2,4,4,1,0,9999999
"IDXGap_CI",1,0,9,1,14,3,9,10,12,9999999
"IDXGap_CI",1,2,2,0,1,0,2,5,0,9999999
"IDXGap_CI",0,19,13,5,2,0,0,0,8,9999999
"IDXGap_CI",0,3,5,1,0,0,0,6,0,9999999
"IDXGap_CI",0,0,0,4,9,5,14,19,5,9999999
"IDXGap_CI",0,0,1,4,4,1,6,12,6,9999999
"IDXGap_CI",0,0,2,3,2,7,2,17,12,9999999
"IDXGap_CI",0,5,28,0,3,8,1,1,4,9999999
"IDXGap_CI",0,2,6,0,0,2,0,1,0,9999999
"IDXGap_CI",0,1,2,11,16,5,2,4,3,9999999
"IDXGap_CI",3,4,3,11,3,14,0,4,5,9999999
"IDXGap_CI",13,8,2,1,2,5,6,5,4,9999999
"IDXGap_CI",5,1,7,3,1,11,4,9,9,9999999
"IDXGap_CI",8,1,1,0,9,0,3,0,0,9999999
"IDXGap_CI",7,3,0,7,11,24,23,6,0,9999999
"IDXGap_CI",0,0,1,1,5,5,4,9,0,9999999
"IDXGap_CI",1,9,1,0,3,3,0,0,10,9999999
"IDXGap_CI",7,1,1,1,0,6,0,2,8,9999999
"IDXGap_CI",1,1,5,8,8,3,0,5,6,9999999
"IDXGap_CI",0,1,1,0,1,0,7,14,33,9999999
"IDXGap_CI",0,6,6,0,0,5,8,3,3,9999999
"IDXGap_CI",1,12,1,12,2,5,2,3,2,9999999
"IDXGap_CI",9,0,8,8,3,2,3,0,1,9999999
"IDXGap_CI",5,1,1,6,1,3,0,2,0,9999999
"IDXGap_CI",0,14,10,2,3,0,0,0,0,9999999
"IDXGap_CI",9,6,6,2,4,3,6,0,0,9999999
"IDXGap_CI",17,1,4,9,15,0,7,7,4,9999999
"IDXGap_CI",0,0,17,4,1,2,0,8,0,9999999
"IDXGap_CI",0,3,11,4,1,2,0,7,2,9999999
"IDXGap_CI",7,11,11,6,0,7,5,11,1,9999999
"IDXGap_CI",0,0,5,0,3,5,0,7,2,9999999
"IDXGap_CI",13,19,0,7,0,9,3,0,9,9999999
"IDXGap_CI",2,13,11,3,3,6,5,2,0,9999999
"IDXGap_CI",29,18,15,0,13,5,0,7,1,9999999
"IDXGap_CI",13,5,0,17,2,2,18,7,1,9999999
"IDXGap_CI",7,2,1,0,1,8,4,0,0,9999999
"IDXGap_CI",1,5,0,8,4,2,2,13,3,9999999
"IDXGap_CI",0,4,6,5,5,1,2,1,5,9999999
"IDXGap_CI",5,2,29,31,12,1,2,2,9,9999999
"IDXGap_CI",2,2,12,1,0,2,5,1,1,9999999
"IDXGap_CI",0,10,10,4,3,3,4,2,2,9999999
"IDXGap_CI",3,4,6,4,7,12,0,8,23,9999999
"IDXGap_CI",1,5,1,6,1,5,1,0,6,9999999
"IDXGap_CI",0,4,1,14,0,3,0,4,13,9999999
"IDXGap_CI",0,1,0,0,5,2,3,1,20,9999999
