"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",9,6,0,1,24,0,19,38,15,9999999
"IDXGap_CI",9,0,12,0,15,11,13,11,19,9999999
"IDXGap_CI",0,3,0,40,24,17,0,3,30,9999999
"IDXGap_CI",8,1,1,12,14,0,4,1,24,9999999
"IDXGap_CI",5,10,2,23,29,10,0,11,12,9999999
"IDXGap_CI",2,0,4,16,5,18,2,14,4,9999999
"IDXGap_CI",8,13,19,26,28,22,11,10,54,9999999
"IDXGap_CI",28,3,0,15,27,5,2,0,3,9999999
"IDXGap_CI",7,0,22,6,0,0,5,8,7,9999999
"IDXGap_CI",0,6,1,6,0,5,8,1,0,9999999
"IDXGap_CI",15,18,7,4,0,0,7,0,48,9999999
"IDXGap_CI",80,64,0,3,3,15,0,0,11,9999999
"IDXGap_CI",3,23,33,35,7,5,0,0,9,9999999
"IDXGap_CI",14,2,0,0,4,29,8,8,6,9999999
"IDXGap_CI",20,23,0,11,11,11,20,1,10,9999999
"IDXGap_CI",5,10,14,1,3,1,0,0,11,9999999
"IDXGap_CI",5,8,23,5,0,18,50,27,3,9999999
"IDXGap_CI",0,29,0,9,32,7,2,30,37,9999999
"IDXGap_CI",9,5,15,4,18,7,4,0,20,9999999
"IDXGap_CI",24,3,55,68,75,60,37,8,0,9999999
"IDXGap_CI",2,22,0,21,17,15,3,0,0,9999999
"IDXGap_CI",17,1,10,17,3,0,3,6,11,9999999
"IDXGap_CI",5,6,0,16,13,0,3,3,12,9999999
"IDXGap_CI",11,0,0,10,21,17,43,30,30,9999999
"IDXGap_CI",0,15,29,67,66,56,34,12,37,9999999
"IDXGap_CI",87,2,0,9,0,0,11,0,75,9999999
"IDXGap_CI",0,6,31,26,3,0,1,14,17,9999999
"IDXGap_CI",0,10,11,13,17,4,21,36,36,9999999
"IDXGap_CI",0,14,0,20,21,15,50,33,1,9999999
"IDXGap_CI",27,1,0,32,29,9,0,14,8,9999999
"IDXGap_CI",19,9,3,0,31,3,0,9,33,9999999
"IDXGap_CI",90,53,10,0,0,0,26,60,62,9999999
"IDXGap_CI",1,3,5,2,10,1,12,0,48,9999999
"IDXGap_CI",3,0,5,8,65,0,36,6,0,9999999
"IDXGap_CI",62,51,36,36,31,21,6,24,1,9999999
"IDXGap_CI",0,14,9,4,26,0,17,26,66,9999999
"IDXGap_CI",3,16,13,7,4,0,3,16,97,9999999
"IDXGap_CI",48,0,22,18,1,4,20,0,0,9999999
"IDXGap_CI",2,2,14,20,24,10,0,3,0,9999999
"IDXGap_CI",10,6,18,0,3,7,12,8,0,9999999
"IDXGap_CI",52,19,16,4,11,25,9,19,0,9999999
"IDXGap_CI",8,0,8,28,17,0,4,12,3,9999999
"IDXGap_CI",41,23,20,2,5,5,5,5,19,9999999
"IDXGap_CI",62,8,5,3,9,18,4,4,0,9999999
"IDXGap_CI",26,3,0,16,17,16,1,4,1,9999999
"IDXGap_CI",0,9,41,30,28,0,30,0,2,9999999
"IDXGap_CI",1,4,6,0,10,10,8,31,42,9999999
"IDXGap_CI",1,17,22,17,0,5,0,0,5,9999999
"IDXGap_CI",4,0,2,3,2,0,10,28,27,9999999
"IDXGap_CI",5,4,0,15,10,6,3,0,10,9999999
"IDXGap_CI",34,23,12,2,0,1,0,0,11,9999999
"IDXGap_CI",12,13,0,1,3,5,12,3,7,9999999
"IDXGap_CI",0,17,3,1,17,10,4,3,8,9999999
"IDXGap_CI",0,2,26,9,5,0,1,44,0,9999999
"IDXGap_CI",19,21,24,5,0,2,8,1,1,9999999
"IDXGap_CI",6,6,19,5,8,0,1,0,27,9999999
"IDXGap_CI",21,1,0,0,17,26,82,52,39,9999999
