"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",42,39,18,1,14,17,19,1,4,9999999
"IDXGap_CI",0,0,11,4,0,6,8,11,0,9999999
"IDXGap_CI",0,2,1,6,0,4,4,0,12,9999999
"IDXGap_CI",11,6,1,15,12,0,4,13,32,9999999
"IDXGap_CI",5,10,6,1,19,10,1,13,14,9999999
"IDXGap_CI",2,14,1,7,5,17,0,0,0,9999999
"IDXGap_CI",1,0,15,7,9,0,9,0,13,9999999
"IDXGap_CI",6,3,0,2,14,3,29,33,16,9999999
"IDXGap_CI",18,0,4,3,0,0,0,4,8,9999999
"IDXGap_CI",0,0,3,0,0,21,15,4,5,9999999
"IDXGap_CI",14,13,2,0,10,11,2,0,0,9999999
"IDXGap_CI",1,3,19,23,23,4,0,0,0,9999999
"IDXGap_CI",3,5,2,0,7,0,0,1,5,9999999
"IDXGap_CI",7,3,0,0,0,11,8,7,18,9999999
"IDXGap_CI",3,6,0,11,15,2,16,6,1,9999999
"IDXGap_CI",8,3,14,1,0,1,0,0,1,9999999
"IDXGap_CI",16,0,2,9,0,18,0,0,9,9999999
"IDXGap_CI",19,0,0,8,31,6,4,6,13,9999999
"IDXGap_CI",7,23,0,8,6,1,2,0,20,9999999
"IDXGap_CI",1,5,4,0,7,21,0,3,4,9999999
"IDXGap_CI",2,4,0,24,22,20,3,0,14,9999999
"IDXGap_CI",0,1,0,0,9,0,19,37,32,9999999
"IDXGap_CI",9,2,0,10,12,5,0,0,4,9999999
"IDXGap_CI",27,0,0,10,6,8,7,0,0,9999999
"IDXGap_CI",0,8,7,26,25,15,4,6,2,9999999
"IDXGap_CI",18,15,9,9,6,7,1,0,7,9999999
"IDXGap_CI",0,0,17,0,6,0,1,20,22,9999999
"IDXGap_CI",0,8,0,1,1,3,6,8,7,9999999
"IDXGap_CI",0,10,0,13,3,0,18,6,2,9999999
"IDXGap_CI",17,3,19,71,73,65,0,9,8,9999999
"IDXGap_CI",8,0,5,0,18,1,0,8,0,9999999
"IDXGap_CI",57,20,17,0,0,0,47,81,83,9999999
"IDXGap_CI",15,4,5,1,1,6,5,8,3,9999999
"IDXGap_CI",16,0,28,25,0,10,6,6,0,9999999
"IDXGap_CI",6,2,9,9,14,12,15,0,1,9999999
"IDXGap_CI",4,9,0,6,35,0,0,8,16,9999999
"IDXGap_CI",3,0,5,12,0,7,2,3,0,9999999
"IDXGap_CI",26,10,45,48,3,6,9,27,29,9999999
"IDXGap_CI",11,18,6,1,1,8,7,1,0,9999999
"IDXGap_CI",19,1,3,14,22,26,21,1,1,9999999
"IDXGap_CI",6,25,25,24,17,0,9,12,0,9999999
"IDXGap_CI",8,0,0,10,0,7,11,19,14,9999999
"IDXGap_CI",0,3,4,13,17,5,0,0,19,9999999
"IDXGap_CI",12,1,5,2,4,1,12,13,18,9999999
"IDXGap_CI",2,0,2,8,5,29,43,2,12,9999999
"IDXGap_CI",7,5,12,2,0,0,0,0,1,9999999
"IDXGap_CI",0,0,0,22,23,6,0,5,1,9999999
"IDXGap_CI",0,6,1,0,3,4,2,0,9,9999999
"IDXGap_CI",0,7,0,3,2,0,9,3,11,9999999
"IDXGap_CI",9,12,0,5,0,11,8,0,8,9999999
"IDXGap_CI",21,23,12,2,0,15,0,0,11,9999999
"IDXGap_CI",7,8,13,9,8,6,0,4,5,9999999
"IDXGap_CI",12,9,3,0,0,3,0,18,23,9999999
"IDXGap_CI",0,2,23,0,36,43,45,0,9,9999999
"IDXGap_CI",3,2,0,0,3,14,0,13,18,9999999
"IDXGap_CI",6,0,10,36,33,22,7,4,27,9999999
"IDXGap_CI",4,13,0,9,4,13,3,0,0,9999999
"IDXGap_CI",0,16,27,0,17,21,3,0,5,9999999
"IDXGap_CI",13,0,3,1,0,0,0,10,33,9999999
"IDXGap_CI",19,15,0,4,14,0,19,24,10,9999999
"IDXGap_CI",11,6,9,11,1,1,0,5,11,9999999
"IDXGap_CI",0,3,4,1,5,14,20,6,18,9999999
"IDXGap_CI",0,5,1,0,0,5,3,1,0,9999999
"IDXGap_CI",0,14,10,34,0,0,0,3,0,9999999
"IDXGap_CI",10,14,13,4,13,25,2,4,5,9999999
"IDXGap_CI",2,0,14,6,7,2,0,9,9,9999999
"IDXGap_CI",12,7,6,0,0,0,2,0,0,9999999
"IDXGap_CI",14,5,7,3,1,0,4,4,14,9999999
"IDXGap_CI",4,1,3,0,12,10,6,0,0,9999999
"IDXGap_CI",7,35,10,0,1,4,3,0,2,9999999
"IDXGap_CI",0,0,1,1,8,22,3,9,30,9999999
"IDXGap_CI",3,0,6,0,8,30,41,44,10,9999999
"IDXGap_CI",6,0,1,1,2,6,0,11,0,9999999
"IDXGap_CI",1,0,0,0,8,5,0,0,3,9999999
"IDXGap_CI",43,44,39,6,7,7,5,8,0,9999999
"IDXGap_CI",4,8,5,0,50,35,9,11,3,9999999
"IDXGap_CI",1,12,3,18,27,13,3,3,26,9999999
"IDXGap_CI",1,0,8,8,1,3,13,0,1,9999999
"IDXGap_CI",25,1,3,27,1,3,0,0,4,9999999
"IDXGap_CI",1,3,4,2,0,6,6,0,26,9999999
"IDXGap_CI",4,0,0,0,7,0,16,3,0,9999999
"IDXGap_CI",11,3,4,15,2,0,7,1,4,9999999
"IDXGap_CI",0,1,8,32,0,7,0,0,0,9999999
"IDXGap_CI",17,5,13,7,2,3,8,9,8,9999999
"IDXGap_CI",5,0,0,2,39,6,21,27,30,9999999
"IDXGap_CI",12,0,5,0,14,23,4,7,5,9999999
"IDXGap_CI",18,12,1,4,0,2,8,8,3,9999999
"IDXGap_CI",4,51,45,25,5,28,28,100,102,9999999
"IDXGap_CI",3,0,1,0,13,0,9,2,0,9999999
"IDXGap_CI",0,0,16,0,5,0,14,1,1,9999999
"IDXGap_CI",23,7,2,0,1,20,2,7,3,9999999
"IDXGap_CI",0,2,0,8,4,0,1,8,3,9999999
"IDXGap_CI",0,4,6,13,1,0,11,12,18,9999999
"IDXGap_CI",5,28,3,0,27,22,2,1,2,9999999
"IDXGap_CI",1,4,2,1,3,1,0,0,1,9999999
"IDXGap_CI",0,3,0,8,0,15,12,6,3,9999999
"IDXGap_CI",3,1,20,0,14,17,0,0,0,9999999
"IDXGap_CI",21,29,0,5,9,5,6,4,0,9999999
"IDXGap_CI",1,0,7,0,0,0,25,29,43,9999999
"IDXGap_CI",0,12,4,0,5,9,0,8,24,9999999
