"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"IDXGap_CI",80,77,56,7,11,3,19,0,4,9999999
"IDXGap_CI",19,0,11,15,15,10,12,19,0,9999999
"IDXGap_CI",0,2,5,6,0,4,4,8,11,9999999
"IDXGap_CI",29,6,1,19,23,49,33,13,60,9999999
"IDXGap_CI",37,18,0,0,7,10,4,13,14,9999999
"IDXGap_CI",59,23,0,17,5,18,5,19,0,9999999
"IDXGap_CI",10,4,31,77,74,20,9,0,8,9999999
"IDXGap_CI",6,16,11,0,12,4,21,9,16,9999999
"IDXGap_CI",18,0,4,11,4,10,6,6,8,9999999
"IDXGap_CI",0,14,14,0,31,19,2,8,5,9999999
"IDXGap_CI",1,0,11,14,25,26,7,7,0,9999999
"IDXGap_CI",11,3,9,5,5,13,0,0,0,9999999
"IDXGap_CI",14,16,6,4,31,17,1,0,9,9999999
"IDXGap_CI",17,0,0,0,4,12,23,44,55,9999999
"IDXGap_CI",3,6,37,30,27,4,16,0,0,9999999
"IDXGap_CI",9,4,25,20,2,20,21,22,11,9999999
"IDXGap_CI",13,0,2,7,0,14,0,2,0,9999999
"IDXGap_CI",85,0,13,23,15,7,4,6,13,9999999
"IDXGap_CI",40,43,20,0,18,7,2,0,19,9999999
"IDXGap_CI",0,5,4,0,7,21,14,2,5,9999999
"IDXGap_CI",3,0,0,24,22,20,3,1,17,9999999
"IDXGap_CI",0,2,4,22,19,10,19,55,60,9999999
"IDXGap_CI",44,30,24,17,19,5,0,0,4,9999999
"IDXGap_CI",27,0,10,0,21,9,7,3,0,9999999
"IDXGap_CI",0,11,6,6,7,17,32,7,2,9999999
"IDXGap_CI",42,6,0,12,30,28,8,6,7,9999999
"IDXGap_CI",2,6,0,0,6,10,31,7,4,9999999
"IDXGap_CI",1,3,25,24,1,3,7,3,3,9999999
"IDXGap_CI",0,11,0,20,9,3,5,2,2,9999999
"IDXGap_CI",18,3,0,50,52,73,6,7,8,9999999
"IDXGap_CI",26,16,10,5,16,1,4,15,0,9999999
"IDXGap_CI",8,9,24,0,0,0,47,81,83,9999999
"IDXGap_CI",43,14,3,1,8,6,5,0,9,9999999
"IDXGap_CI",7,7,17,20,36,18,6,6,0,9999999
"IDXGap_CI",7,1,16,16,15,5,15,0,63,9999999
"IDXGap_CI",0,16,6,8,36,0,0,2,16,9999999
"IDXGap_CI",3,0,6,13,0,4,3,3,2,9999999
"IDXGap_CI",26,12,22,18,2,6,21,0,0,9999999
"IDXGap_CI",32,25,13,8,4,1,5,1,0,9999999
"IDXGap_CI",7,0,38,56,48,36,31,6,6,9999999
"IDXGap_CI",30,1,4,25,18,0,10,13,22,9999999
"IDXGap_CI",8,0,2,0,4,13,17,25,2,9999999
"IDXGap_CI",9,7,9,6,17,5,5,5,20,9999999
"IDXGap_CI",10,2,9,2,5,4,5,5,0,9999999
"IDXGap_CI",26,4,7,7,9,14,0,2,12,9999999
"IDXGap_CI",7,5,13,1,0,7,0,9,24,9999999
"IDXGap_CI",5,2,0,8,15,12,9,8,0,9999999
"IDXGap_CI",14,14,41,10,3,6,1,0,9,9999999
"IDXGap_CI",0,7,9,1,1,12,22,4,26,9999999
"IDXGap_CI",34,37,14,0,2,0,7,0,12,9999999
"IDXGap_CI",18,7,2,11,13,8,3,8,1,9999999
"IDXGap_CI",7,10,23,27,29,31,38,4,6,9999999
"IDXGap_CI",12,7,3,0,2,3,3,3,8,9999999
"IDXGap_CI",17,20,33,0,29,22,20,11,31,9999999
"IDXGap_CI",3,2,0,0,4,24,0,1,1,9999999
"IDXGap_CI",2,0,37,10,8,3,10,12,27,9999999
"IDXGap_CI",1,2,10,5,7,16,0,7,0,9999999
"IDXGap_CI",5,24,13,14,5,1,33,30,23,9999999
"IDXGap_CI",3,25,10,1,0,0,33,22,30,9999999
"IDXGap_CI",13,9,2,0,9,31,34,29,14,9999999
"IDXGap_CI",18,13,5,34,4,1,1,1,3,9999999
"IDXGap_CI",48,46,4,0,13,14,20,58,36,9999999
"IDXGap_CI",3,0,35,4,0,10,1,1,8,9999999
"IDXGap_CI",0,14,10,6,17,37,4,3,0,9999999
"IDXGap_CI",10,14,15,35,44,52,5,4,16,9999999
"IDXGap_CI",2,0,17,28,20,14,26,1,2,9999999
"IDXGap_CI",13,8,6,9,0,0,25,62,6,9999999
"IDXGap_CI",14,5,46,12,10,1,5,9,9,9999999
"IDXGap_CI",8,2,3,0,9,0,3,9,40,9999999
"IDXGap_CI",0,28,14,23,27,11,10,6,1,9999999
"IDXGap_CI",2,0,1,1,8,23,3,2,19,9999999
"IDXGap_CI",1,23,27,0,6,8,0,3,2,9999999
"IDXGap_CI",14,0,1,9,7,5,0,11,10,9999999
"IDXGap_CI",0,1,5,10,13,3,0,9,9,9999999
"IDXGap_CI",3,4,22,14,14,20,5,8,8,9999999
"IDXGap_CI",9,7,5,0,37,35,9,18,10,9999999
"IDXGap_CI",2,12,2,11,20,13,3,3,4,9999999
"IDXGap_CI",9,21,12,12,29,4,14,0,1,9999999
"IDXGap_CI",15,1,3,16,1,3,0,0,22,9999999
"IDXGap_CI",1,17,41,19,0,3,17,21,2,9999999
"IDXGap_CI",39,35,35,1,8,0,27,65,68,9999999
"IDXGap_CI",12,2,4,17,27,0,8,23,36,9999999
"IDXGap_CI",18,18,0,34,16,7,0,29,21,9999999
"IDXGap_CI",17,23,26,7,14,13,9,7,7,9999999
"IDXGap_CI",74,69,12,7,41,0,15,21,30,9999999
"IDXGap_CI",25,0,10,13,9,10,1,10,1,9999999
"IDXGap_CI",15,21,5,10,14,9,8,13,26,9999999
"IDXGap_CI",2,1,6,12,3,28,28,100,102,9999999
"IDXGap_CI",2,13,15,0,13,5,19,18,5,9999999
"IDXGap_CI",0,6,0,45,31,24,1,1,37,9999999
"IDXGap_CI",18,2,6,11,11,4,17,10,6,9999999
"IDXGap_CI",0,2,0,8,10,10,13,31,4,9999999
"IDXGap_CI",0,4,6,12,1,4,19,19,45,9999999
"IDXGap_CI",3,11,38,35,6,2,2,2,9,9999999
"IDXGap_CI",1,2,28,32,1,2,6,0,18,9999999
"IDXGap_CI",0,12,24,1,14,0,0,10,3,9999999
"IDXGap_CI",19,1,44,24,7,3,0,0,0,9999999
"IDXGap_CI",9,9,1,6,1,0,6,12,15,9999999
"IDXGap_CI",19,0,19,0,22,0,0,4,18,9999999
"IDXGap_CI",0,12,3,0,5,9,8,9,24,9999999
