"","No.","일자","시","사용량..kWh.","최대수요..kW.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"1",1,20150901,1,1113.48,1150.56,300.6,0,0,"화",1,NA,"fall"
"2",2,20150901,2,987.84,1038.24,271.44,0,0,"화",1,NA,"fall"
"3",3,20150901,3,891.36,912.96,234,0,0,"화",1,NA,"fall"
"4",4,20150901,4,845.64,856.8,209.52,0,0,"화",1,NA,"fall"
"5",5,20150901,5,804.6,820.8,182.88,0,0,"화",1,NA,"fall"
"6",6,20150901,6,851.04,892.8,203.04,0,0,"화",1,NA,"fall"
"7",7,20150901,7,968.4,1018.08,245.52,0,0,"화",1,NA,"fall"
"8",8,20150901,8,1137.6,1228.32,295.2,0,0,"화",1,NA,"fall"
"9",9,20150901,9,1519.2,1585.44,433.44,0,0,"화",1,NA,"fall"
"10",10,20150901,10,1628.64,1660.32,459,0,96.25,"화",1,NA,"fall"
"11",11,20150901,11,1725.48,1788.48,496.44,0,96.1,"화",1,NA,"fall"
"12",12,20150901,12,1778.04,1818.72,520.92,0,95.97,"화",1,NA,"fall"
"13",13,20150901,13,1759.68,1833.12,508.32,0,96.07,"화",1,NA,"fall"
"14",14,20150901,14,1898.28,1926.72,543.24,0,96.14,"화",1,NA,"fall"
"15",15,20150901,15,1803.6,1840.32,517.68,0,96.12,"화",1,NA,"fall"
"16",16,20150901,16,1807.2,1827.36,502.92,0,96.34,"화",1,NA,"fall"
"17",17,20150901,17,1830.24,1848.96,533.16,0,96.01,"화",1,NA,"fall"
"18",18,20150901,18,1690.2,1764,470.52,0,96.34,"화",1,NA,"fall"
"19",19,20150901,19,1528.92,1536.48,404.28,0,96.68,"화",1,NA,"fall"
"20",20,20150901,20,1533.6,1552.32,406.08,0,96.67,"화",1,NA,"fall"
"21",21,20150901,21,1493.64,1514.88,377.64,0,96.95,"화",1,NA,"fall"
"22",22,20150901,22,1439.28,1454.4,366.12,0,96.91,"화",1,NA,"fall"
"23",23,20150901,23,1238.4,1346.4,292.68,0,97.32,"화",1,NA,"fall"
"24",24,20150901,24,1186.56,1206.72,293.4,0,0,"화",1,NA,"fall"
"25",25,20150902,1,1095.48,1152,285.84,0,0,"수",1,NA,"fall"
"26",26,20150902,2,942.84,1008,234,0,0,"수",1,NA,"fall"
"27",27,20150902,3,892.08,918.72,220.68,0,0,"수",1,NA,"fall"
"28",28,20150902,4,833.4,866.88,204.48,0,0,"수",1,NA,"fall"
"29",29,20150902,5,804.24,828,185.4,0,0,"수",1,NA,"fall"
"30",30,20150902,6,821.52,848.16,187.2,0,0,"수",1,NA,"fall"
"31",31,20150902,7,946.8,969.12,226.44,0,0,"수",1,NA,"fall"
"32",32,20150902,8,1102.32,1268.64,267.48,0,0,"수",1,NA,"fall"
"33",33,20150902,9,1501.56,1563.84,437.4,0,0,"수",1,NA,"fall"
"34",34,20150902,10,1591.56,1686.24,449.64,0,96.23,"수",1,NA,"fall"
"35",35,20150902,11,1697.4,1700.64,491.04,0,96.06,"수",1,NA,"fall"
"36",36,20150902,12,1779.12,1805.76,533.16,0,95.79,"수",1,NA,"fall"
"37",37,20150902,13,1744.56,1761.12,509.4,0,95.99,"수",1,NA,"fall"
"38",38,20150902,14,1811.16,1818.72,526.68,0,96.02,"수",1,NA,"fall"
"39",39,20150902,15,1717.56,1746.72,504.72,0,95.94,"수",1,NA,"fall"
