"","No.","일자","일","사용량..kWh.","최대수요..kW.","사용량요금..원.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"1",1,201509,1,87055.68,6122.88,5671888,15987.84,1824,97.9,"화","N",NA,"fall"
"2",2,201509,2,86628.96,6055.68,5630964,15515.04,1658.4,97.98,"수","N",NA,"fall"
"3",3,201509,3,86029.44,5957.76,5595473,15373.44,1999.2,97.98,"목","N",NA,"fall"
"4",4,201509,4,84249.12,5882.88,5471606,15352.8,1704.96,97.87,"금","N",NA,"fall"
"5",5,201509,5,62410.56,4298.88,3511203,9479.52,1985.28,98.45,"토","N",NA,"fall"
"6",6,201509,6,42096.96,2509.44,1906992,1449.12,2259.84,99.89,"일","N",NA,"fall"
"7",7,201509,7,83694.24,5982.72,5456748,14587.2,2201.76,98.09,"월","N",NA,"fall"
"8",8,201509,8,82059.36,5760,5348636,13727.04,2082.72,98.19,"화","N",NA,"fall"
"9",9,201509,9,84376.32,6021.12,5496561,14832.96,1949.28,98,"수","N",NA,"fall"
"10",10,201509,10,85006.08,6011.52,5530056,15312.48,1978.56,97.9,"목","N",NA,"fall"
"11",11,201509,11,79855.68,5577.6,5189871,13602.24,2176.8,98.14,"금","N",NA,"fall"
"12",12,201509,12,55136.64,3784.32,3090401,6352.8,2098.08,99.08,"토","N",NA,"fall"
"13",13,201509,13,40335.84,2382.72,1827214,1236.48,2435.04,99.91,"일","N",NA,"fall"
"14",14,201509,14,82353.12,5750.4,5361833,14191.68,1949.76,98.1,"월","N",NA,"fall"
"15",15,201509,15,82357.44,5808,5376458,13664.64,2096.64,98.21,"화","N",NA,"fall"
"16",16,201509,16,79605.12,5610.24,5170903,12676.8,1979.04,98.36,"수","N",NA,"fall"
"17",17,201509,17,79169.28,5673.6,5158111,12753.6,2180.64,98.32,"목","N",NA,"fall"
"18",18,201509,18,70671.84,4888.32,4574711,10778.4,2100,98.43,"금","N",NA,"fall"
"19",19,201509,19,56425.44,3872.64,3171939,8020.8,2212.32,98.57,"토","N",NA,"fall"
"20",20,201509,20,41507.52,2394.24,1880291,1423.2,2248.8,99.88,"일","N",NA,"fall"
"21",21,201509,21,83613.12,5900.16,5451444,14325.12,1987.68,98.13,"월","N",NA,"fall"
"22",22,201509,22,83301.12,5854.08,5426743,14251.2,1980.96,98.08,"화","N",NA,"fall"
"23",23,201509,23,81645.6,5731.2,5308675,13403.52,1887.84,98.23,"수","N",NA,"fall"
"24",24,201509,24,83482.08,5907.84,5442296,14079.84,1957.92,98.12,"목","N",NA,"fall"
"25",25,201509,25,74813.28,5433.6,4872166,12156,2123.04,98.22,"금","N",NA,"fall"
"26",26,201509,26,37044.48,1998.72,1678115,405.12,2607.84,99.99,"토","N",NA,"fall"
"27",27,201509,27,33862.56,1900.8,1533974,109.44,3216,100,"일","N",NA,"fall"
"28",28,201509,28,35886.72,2087.04,1625668,120.48,3063.36,100,"월","N",NA,"fall"
"29",29,201509,29,37498.56,2183.04,1698685,127.68,2791.2,100,"화","N",NA,"fall"
"30",30,201509,30,68642.88,5372.16,4429132,9261.12,2032.8,98.77,"수","N",NA,"fall"
"31",31,201510,1,63052.32,4344.96,4035807,5268.48,2283.84,99.49,"목","N",NA,"fall"
"32",32,201510,2,57833.28,3751.68,3692447,3913.44,2530.56,99.65,"금","N",NA,"fall"
"33",33,201510,3,45579.36,2845.44,2064745,3375.84,2484.48,99.54,"토","N",NA,"fall"
"34",34,201510,4,36540.48,2071.68,1655284,413.76,2789.76,99.99,"일","N",NA,"fall"
"35",35,201510,5,61744.32,4381.44,3970367,4845.12,2530.56,99.54,"월","N",NA,"fall"
"36",36,201510,6,64123.2,4665.6,4144311,5557.92,2576.16,99.44,"화","N",NA,"fall"
"37",37,201510,7,62195.04,4755.84,3968930,5501.28,2349.12,99.41,"수","N",NA,"fall"
"38",38,201510,8,67241.28,4957.44,4361820,7544.64,2204.64,99.08,"목","N",NA,"fall"
"39",39,201510,9,31884.48,2087.04,1444367,45.6,2899.68,100,"금","N",NA,"fall"
"40",40,201510,10,38564.64,2568.96,2146195,1623.84,2334.72,99.85,"토","N",NA,"fall"
"41",41,201510,11,33799.2,1946.88,1531104,14.88,3516.96,100,"일","N",NA,"fall"
"42",42,201510,12,53155.2,3567.36,3422557,2323.68,2318.88,99.86,"월","N",NA,"fall"
"43",43,201510,13,52186.56,3770.88,3400584,2359.2,2191.2,99.86,"화","N",NA,"fall"
"44",44,201510,14,58223.52,3838.08,3712018,3249.6,2566.56,99.77,"수","N",NA,"fall"
"45",45,201510,15,58381.92,4020.48,3722743,3748.32,2241.12,99.7,"목","N",NA,"fall"
"46",46,201510,16,58413.12,4008.96,3730558,4256.64,2249.76,99.6,"금","N",NA,"fall"
"47",47,201510,17,48803.04,3239.04,2726012,3316.8,2275.2,99.63,"토","N",NA,"fall"
"48",48,201510,18,38038.08,2064,1723125,477.12,2563.2,99.98,"일","N",NA,"fall"
"49",49,201510,19,59138.88,4010.88,3774762,4221.6,2163.36,99.61,"월","N",NA,"fall"
"50",50,201510,20,59002.08,3968.64,3760053,4012.8,2323.2,99.64,"화","N",NA,"fall"
"51",51,201510,21,58907.52,4049.28,3755793,3690.24,2098.08,99.71,"수","N",NA,"fall"
"52",52,201510,22,56262.24,3749.76,3560278,3151.2,2316.48,99.75,"목","N",NA,"fall"
"53",53,201510,23,53362.56,3492.48,3378694,2671.2,2190.24,99.8,"금","N",NA,"fall"
"54",54,201510,24,43737.6,2718.72,2434236,1904.16,2593.44,99.84,"토","N",NA,"fall"
"55",55,201510,25,35136.96,1954.56,1591704,83.52,3497.76,100,"일","N",NA,"fall"
"56",56,201510,26,55369.44,3663.36,3539283,2470.56,2687.04,99.84,"월","N",NA,"fall"
"57",57,201510,27,55138.56,3482.88,3511515,2121.12,2601.12,99.88,"화","N",NA,"fall"
"58",58,201510,28,54913.44,3480.96,3499433,1942.08,2817.12,99.91,"수","N",NA,"fall"
"59",59,201510,29,55395.36,3571.2,3535505,1806.72,3069.12,99.92,"목","N",NA,"fall"
"60",60,201510,30,55227.36,3795.84,3527050,2165.28,3121.44,99.88,"금","N",NA,"fall"
"61",61,201510,31,40351.68,2424.96,2236817,11.52,4344,100,"토","N",NA,"fall"
"62",62,201511,1,35422.56,1918.08,1746332,21.6,3914.88,100,"일","N",NA,"fall"
"63",63,201511,2,54812.64,3507.84,4981351,253.92,3567.84,100,"월","N",NA,"fall"
"64",64,201511,3,56388.96,3605.76,5111159,688.8,3082.08,99.99,"화","N",NA,"fall"
"65",65,201511,4,55620.96,3523.2,5051810,1364.64,2860.8,99.96,"수","N",NA,"fall"
"66",66,201511,5,55322.4,3504,5000711,1286.88,2871.84,99.97,"목","N",NA,"fall"
"67",67,201511,6,53840.64,3461.76,4851274,1649.76,2852.16,99.93,"금","N",NA,"fall"
"68",68,201511,7,42500.64,2620.8,3298941,347.52,3461.76,100,"토","N",NA,"fall"
"69",69,201511,8,35280.96,1954.56,1739351,33.12,4033.92,100,"일","N",NA,"fall"
"70",70,201511,9,57263.52,3828.48,5208813,903.36,3572.64,99.99,"월","N",NA,"fall"
"71",71,201511,10,57353.28,3619.2,5191130,814.56,3191.04,99.99,"화","N",NA,"fall"
"72",72,201511,11,57628.8,3907.2,5207813,1461.6,3515.04,99.96,"수","N",NA,"fall"
"73",73,201511,12,55780.32,3457.92,5058032,1589.76,3208.8,99.94,"목","N",NA,"fall"
"74",74,201511,13,54732.48,3617.28,4954196,1706.4,3663.36,99.93,"금","N",NA,"fall"
"75",75,201511,14,42300.48,2624.64,3257613,248.64,3998.4,100,"토","N",NA,"fall"
"76",76,201511,15,37072.8,2081.28,1827689,54.24,3823.2,100,"일","N",NA,"fall"
"77",77,201511,16,58690.08,3682.56,5336944,2019.84,2857.44,99.92,"월","N",NA,"fall"
"78",78,201511,17,56214.24,3544.32,5100597,1761.12,3069.12,99.93,"화","N",NA,"fall"
"79",79,201511,18,59659.2,3930.24,5442947,2300.16,3513.6,99.9,"수","N",NA,"fall"
"80",80,201511,19,59924.16,4444.8,5407034,3794.4,3553.44,99.76,"목","N",NA,"fall"
"81",81,201511,20,49268.16,3588.48,4362468,2154.24,3768.48,99.89,"금","N",NA,"fall"
"82",82,201511,21,51856.8,4032,3946121,3359.04,3551.04,99.85,"토","N",NA,"fall"
"83",83,201511,22,34834.08,1918.08,1717320,1.92,4631.04,100,"일","N",NA,"fall"
"84",84,201511,23,65076.96,4621.44,5926872,4570.56,3536.16,99.72,"월","N",NA,"fall"
"85",85,201511,24,68939.52,4755.84,6270757,5682.24,3409.92,99.59,"화","N",NA,"fall"
"86",86,201511,25,72572.16,4961.28,6638800,6853.92,3224.16,99.43,"수","N",NA,"fall"
"87",87,201511,26,81177.12,5477.76,7498744,9708.96,2627.52,99.09,"목","N",NA,"fall"
"88",88,201511,27,81525.6,5291.52,7380288,9343.68,2189.28,99.13,"금","N",NA,"fall"
"89",89,201511,28,65209.44,4483.2,5102635,6692.16,2923.2,99.31,"토","N",NA,"fall"
"90",90,201511,29,46573.44,2872.32,2296071,930.24,3963.84,99.96,"일","N",NA,"fall"
"91",91,201511,30,77101.44,5016.96,7063932,7995.36,2895.36,99.33,"월","N",NA,"fall"
"92",92,201512,1,77269.44,5007.36,7052062,8010.24,2801.76,99.32,"화","N",NA,"winter"
"93",93,201512,2,78361.44,5220.48,7198897,9076.8,2851.68,99.15,"수","N",NA,"winter"
"94",94,201512,3,84643.68,5521.92,7790876,9333.6,2333.76,99.23,"목","N",NA,"winter"
"95",95,201512,4,84986.88,5376,7658973,9180.48,2422.08,99.22,"금","N",NA,"winter"
"96",96,201512,5,65237.76,4131.84,5072721,6230.4,2669.76,99.36,"토","N",NA,"winter"
"97",97,201512,6,51089.28,2841.6,2518702,769.44,2968.8,99.98,"일","N",NA,"winter"
"98",98,201512,7,81309.12,5253.12,7350933,9100.32,2654.4,99.19,"월","N",NA,"winter"
"99",99,201512,8,75865.44,4869.12,6941393,8130.72,3131.52,99.29,"화","N",NA,"winter"
"100",100,201512,9,76217.28,4909.44,6950816,7622.4,2876.16,99.37,"수","N",NA,"winter"
"101",101,201512,10,72812.16,4730.88,6674822,7060.8,3139.2,99.4,"목","N",NA,"winter"
"102",102,201512,11,69628.32,4469.76,6336317,6158.88,2907.36,99.51,"금","N",NA,"winter"
"103",103,201512,12,55447.68,3565.44,4318254,4145.76,3060.48,99.64,"토","N",NA,"winter"
