,no,date,time,kWh,dayOfTheWeek,isHoliday,dateName,season
1,1,20150901,15,287.64,화,1,NA,fall
2,2,20150901,30,282.6,화,1,NA,fall
3,3,20150901,45,275.04,화,1,NA,fall
4,4,20150901,100,268.2,화,1,NA,fall
5,5,20150901,115,259.56,화,1,NA,fall
6,6,20150901,130,246.24,화,1,NA,fall
7,7,20150901,145,241.56,화,1,NA,fall
8,8,20150901,200,240.48,화,1,NA,fall
9,9,20150901,215,228.24,화,1,NA,fall
10,10,20150901,230,225,화,1,NA,fall
11,11,20150901,245,218.88,화,1,NA,fall
12,12,20150901,300,219.24,화,1,NA,fall
13,13,20150901,315,211.68,화,1,NA,fall
14,14,20150901,330,214.2,화,1,NA,fall
15,15,20150901,345,212.76,화,1,NA,fall
16,16,20150901,400,207,화,1,NA,fall
17,17,20150901,415,205.2,화,1,NA,fall
18,18,20150901,430,197.64,화,1,NA,fall
19,19,20150901,445,197.28,화,1,NA,fall
20,20,20150901,500,204.48,화,1,NA,fall
21,21,20150901,515,208.44,화,1,NA,fall
22,22,20150901,530,204.84,화,1,NA,fall
23,23,20150901,545,214.56,화,1,NA,fall
24,24,20150901,600,223.2,화,1,NA,fall
25,25,20150901,615,230.76,화,1,NA,fall
26,26,20150901,630,242.28,화,1,NA,fall
27,27,20150901,645,240.84,화,1,NA,fall
28,28,20150901,700,254.52,화,1,NA,fall
29,29,20150901,715,257.76,화,1,NA,fall
30,30,20150901,730,277.2,화,1,NA,fall
31,31,20150901,745,295.56,화,1,NA,fall
32,32,20150901,800,307.08,화,1,NA,fall
33,33,20150901,815,347.76,화,1,NA,fall
34,34,20150901,830,383.76,화,1,NA,fall
35,35,20150901,845,391.32,화,1,NA,fall
36,36,20150901,900,396.36,화,1,NA,fall
37,37,20150901,915,404.28,화,1,NA,fall
38,38,20150901,930,396.72,화,1,NA,fall
39,39,20150901,945,412.56,화,1,NA,fall
40,40,20150901,1000,415.08,화,1,NA,fall
41,41,20150901,1015,423.72,화,1,NA,fall
42,42,20150901,1030,420.84,화,1,NA,fall
43,43,20150901,1045,433.8,화,1,NA,fall
44,44,20150901,1100,447.12,화,1,NA,fall
45,45,20150901,1115,454.68,화,1,NA,fall
46,46,20150901,1130,452.88,화,1,NA,fall
47,47,20150901,1145,437.04,화,1,NA,fall
48,48,20150901,1200,433.44,화,1,NA,fall
49,49,20150901,1215,426.24,화,1,NA,fall
50,50,20150901,1230,430.2,화,1,NA,fall
51,51,20150901,1245,444.96,화,1,NA,fall
52,52,20150901,1300,458.28,화,1,NA,fall
53,53,20150901,1315,481.68,화,1,NA,fall
54,54,20150901,1330,478.8,화,1,NA,fall
55,55,20150901,1345,479.88,화,1,NA,fall
56,56,20150901,1400,457.92,화,1,NA,fall
57,57,20150901,1415,447.48,화,1,NA,fall
58,58,20150901,1430,441,화,1,NA,fall
59,59,20150901,1445,455.04,화,1,NA,fall
60,60,20150901,1500,460.08,화,1,NA,fall
61,61,20150901,1515,444.96,화,1,NA,fall
62,62,20150901,1530,456.12,화,1,NA,fall
63,63,20150901,1545,456.84,화,1,NA,fall
64,64,20150901,1600,449.28,화,1,NA,fall
65,65,20150901,1615,453.24,화,1,NA,fall
66,66,20150901,1630,453.24,화,1,NA,fall
67,67,20150901,1645,461.52,화,1,NA,fall
68,68,20150901,1700,462.24,화,1,NA,fall
69,69,20150901,1715,441,화,1,NA,fall
70,70,20150901,1730,425.88,화,1,NA,fall
71,71,20150901,1745,417.6,화,1,NA,fall
72,72,20150901,1800,405.72,화,1,NA,fall
73,73,20150901,1815,384.12,화,1,NA,fall
74,74,20150901,1830,382.32,화,1,NA,fall
