"","No.","일자","일","사용량..kWh.","최대수요..kW.","사용량요금..원.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"1",1,201509,1,33460.92,1926.72,2071493,9068.04,0,96.39,"화","N",NA,"fall"
"2",2,201509,2,31753.08,1818.72,1963191,8457.84,0,96.46,"수","N",NA,"fall"
"3",3,201509,3,32092.56,1872,1995260,8572.68,0,96.45,"목","N",NA,"fall"
"4",4,201509,4,30417.84,1745.28,1878128,8159.04,0,96.34,"금","N",NA,"fall"
"5",5,201509,5,26595,1432.8,1453461,7027.56,0,96.51,"토","N",NA,"fall"
"6",6,201509,6,22194.72,1137.6,1005421,5465.52,0,96.88,"일","N",NA,"fall"
"7",7,201509,7,27756.72,1582.56,1711497,7216.92,0,96.49,"월","N",NA,"fall"
"8",8,201509,8,27299.88,1517.76,1679637,6606.36,0,97.06,"화","N",NA,"fall"
"9",9,201509,9,27027.36,1509.12,1664385,6745.32,0,96.75,"수","N",NA,"fall"
"10",10,201509,10,28063.8,1542.24,1728947,6980.76,0,96.84,"목","N",NA,"fall"
"11",11,201509,11,27097.56,1476,1662615,6667.56,0,97.02,"금","N",NA,"fall"
"12",12,201509,12,22989.24,1226.88,1257943,5422.68,0,97.06,"토","N",NA,"fall"
"13",13,201509,13,20916.72,1061.28,947527,4986.72,0,96.96,"일","N",NA,"fall"
"14",14,201509,14,26920.8,1499.04,1652757,6713.64,0,96.85,"월","N",NA,"fall"
"15",15,201509,15,27069.84,1506.24,1660640,6609.96,0,97,"화","N",NA,"fall"
"16",16,201509,16,25453.44,1405.44,1558488,6017.4,0,97.19,"수","N",NA,"fall"
"17",17,201509,17,26014.68,1415.52,1591899,6319.08,0,97.01,"목","N",NA,"fall"
"18",18,201509,18,24813,1311.84,1514739,5927.76,0,97.15,"금","N",NA,"fall"
"19",19,201509,19,23718.6,1224,1299215,6090.48,0,96.56,"토","N",NA,"fall"
"20",20,201509,20,21709.08,1117.44,983421,5223.24,0,96.85,"일","N",NA,"fall"
"21",21,201509,21,26507.88,1424.16,1620176,6527.88,0,96.84,"월","N",NA,"fall"
"22",22,201509,22,27360.72,1566.72,1685441,6629.04,0,97,"화","N",NA,"fall"
"23",23,201509,23,25953.12,1389.6,1581214,6171.84,0,97.19,"수","N",NA,"fall"
"24",24,201509,24,25389,1395.36,1555590,5711.04,0,97.49,"목","N",NA,"fall"
"25",25,201509,25,23225.76,1280.16,1417863,5086.08,0,97.37,"금","N",NA,"fall"
"26",26,201509,26,16565.04,776.16,750396,3356.64,0,97.79,"토","N",NA,"fall"
"27",27,201509,27,15639.48,747.36,708468,3127.68,0,97.78,"일","N",NA,"fall"
"28",28,201509,28,14819.04,770.4,671303,2412.36,0,98.81,"월","N",NA,"fall"
"29",29,201509,29,16308.36,941.76,738769,2825.64,0,97.94,"화","N",NA,"fall"
"30",30,201509,30,22029.48,1232.64,1331126,4409.28,0,98,"수","N",NA,"fall"
"31",31,201510,1,22311.72,1188,1360121,4312.08,0,98.19,"목","N",NA,"fall"
"32",32,201510,2,22111.56,1193.76,1347921,4109.76,0,98.22,"금","N",NA,"fall"
"33",33,201510,3,19391.04,986.4,878414,3704.04,0,98.04,"토","N",NA,"fall"
"34",34,201510,4,18325.8,954.72,830159,3495.24,0,98.05,"일","N",NA,"fall"
"35",35,201510,5,21932.28,1150.56,1333789,4149.72,0,98.12,"월","N",NA,"fall"
"36",36,201510,6,21863.52,1156.32,1326092,3990.6,0,98.3,"화","N",NA,"fall"
"37",37,201510,7,22350.24,1175.04,1359760,4028.4,0,98.4,"수","N",NA,"fall"
"38",38,201510,8,22370.04,1164.96,1356475,4111.2,0,98.24,"목","N",NA,"fall"
"39",39,201510,9,19681.92,956.16,891591,3621.6,0,98.21,"금","N",NA,"fall"
"40",40,201510,10,18330.84,960.48,993154,3090.24,0,98.58,"토","N",NA,"fall"
"41",41,201510,11,17858.52,947.52,808991,3043.08,0,98.5,"일","N",NA,"fall"
"42",42,201510,12,20264.4,1127.52,1248535,3197.16,0,98.8,"월","N",NA,"fall"
"43",43,201510,13,19196.64,1130.4,1173951,2912.04,0,98.78,"화","N",NA,"fall"
"44",44,201510,14,21651.12,1153.44,1318863,3236.76,0,98.8,"수","N",NA,"fall"
"45",45,201510,15,21200.76,1085.76,1279054,3399.84,0,98.64,"목","N",NA,"fall"
"46",46,201510,16,20738.88,1036.8,1255110,3363.84,0,98.57,"금","N",NA,"fall"
"47",47,201510,17,18883.08,982.08,1026636,3176.64,0,98.46,"토","N",NA,"fall"
"48",48,201510,18,18270,979.2,827631,3056.4,0,98.47,"일","N",NA,"fall"
"49",49,201510,19,21425.76,1088.64,1298162,3461.04,0,98.64,"월","N",NA,"fall"
"50",50,201510,20,21049.92,1052.64,1274628,3380.76,0,98.58,"화","N",NA,"fall"
"51",51,201510,21,21104.64,1052.64,1275494,3436.92,0,98.62,"수","N",NA,"fall"
"52",52,201510,22,22191.84,1152,1340448,3765.6,0,98.51,"목","N",NA,"fall"
"53",53,201510,23,21660.48,1126.08,1307851,3430.44,0,98.83,"금","N",NA,"fall"
"54",54,201510,24,19402.2,1081.44,1055689,3044.16,0,98.81,"토","N",NA,"fall"
"55",55,201510,25,17734.68,936,803381,2828.16,0,98.61,"일","N",NA,"fall"
