"","No.","일자","일","사용량..kWh.","최대수요..kW.","사용량요금..원.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"1",1,201509,2,34150.8,3218.4,2284359,13330.2,0,93.24,"수","N",NA,"fall"
"2",2,201509,3,60098.4,3278.4,3699555,23947.5,0,93.56,"목","N",NA,"fall"
"3",3,201509,4,59936.7,3229.2,3675706,24240,0,93.34,"금","N",NA,"fall"
"4",4,201509,5,50925,2649.6,2770374,22216.5,0,92.02,"토","N",NA,"fall"
"5",5,201509,6,45924.3,2188.8,2080371,20447.4,0,91.56,"일","N",NA,"fall"
"6",6,201509,7,57474.3,3286.8,3555262,22601.1,0,93.72,"월","N",NA,"fall"
"7",7,201509,8,56366.1,3126,3475923,20855.4,0,94.67,"화","N",NA,"fall"
"8",8,201509,9,54413.7,3052.8,3365510,19021.8,0,94.77,"수","N",NA,"fall"
"9",9,201509,10,57147.9,3163.2,3531964,22443,0,93.57,"목","N",NA,"fall"
"10",10,201509,11,56422.8,3028.8,3460189,23019.3,0,93.2,"금","N",NA,"fall"
"11",11,201509,12,45964.27,3552.36,2503452,19100.79,0,92.88,"토","N",NA,"fall"
"12",12,201509,13,41366.4,1968,1873898,16227.3,0,93.16,"일","N",NA,"fall"
"13",13,201509,14,55202.7,3084,3414134,21822.9,0,93.62,"월","N",NA,"fall"
"14",14,201509,15,55322.4,3057.6,3410093,20537.7,0,94.6,"화","N",NA,"fall"
"15",15,201509,16,53046.3,2919.6,3275917,18710.1,0,94.71,"수","N",NA,"fall"
"16",16,201509,17,53270.4,3016.8,3295887,18691.5,0,94.72,"목","N",NA,"fall"
"17",17,201509,18,53063.1,2914.8,3275230,20323.2,0,93.45,"금","N",NA,"fall"
"18",18,201509,19,47487.6,2566.8,2587158,20597.4,0,92.08,"토","N",NA,"fall"
"19",19,201509,20,44823.9,2145.6,2030523,19901.4,0,91.65,"일","N",NA,"fall"
"20",20,201509,21,56787.3,3129.6,3507946,22261.5,0,93.81,"월","N",NA,"fall"
"21",21,201509,22,57443.4,3200.4,3541805,22403.4,0,93.88,"화","N",NA,"fall"
"22",22,201509,23,56091.9,3051.6,3452036,22221.9,0,93.62,"수","N",NA,"fall"
"23",23,201509,24,56649.9,3153.6,3496710,22168.5,0,93.73,"목","N",NA,"fall"
"24",24,201509,25,54013.2,2998.8,3316852,21743.1,0,93.31,"금","N",NA,"fall"
"25",25,201509,26,42384.9,1971.6,1920036,18249.6,0,92.08,"토","N",NA,"fall"
